Trial	ObjID	LocID	FB	Task	RT	Stim
1	95	2	1	-1	681	4016	
2	53	4	1	-1	1500	10014	
3	54	1	1	-1	683	16014	
4	91	3	1	-1	1017	22014	
5	26	4	1	-1	883	28014	
6	22	2	1	-1	833	34014	
7	66	1	1	-1	533	40014	
8	12	3	1	-1	650	46014	
9	29	3	1	-2	733	52014	
10	81	2	1	-2	666	58014	
11	42	4	1	-2	816	64014	
12	77	1	1	-2	1116	70014	
13	51	4	1	-2	716	76014	
14	31	1	1	-2	616	82014	
15	40	2	1	-2	816	88013	
16	69	3	1	-2	566	94013	
17	64	3	1	-1	667	100013	
18	39	4	1	-1	517	106013	
19	93	2	1	-1	517	112013	
20	48	1	1	-1	617	118013	
21	1	2	1	-1	717	124013	
22	56	1	1	-1	717	130013	
23	79	4	1	-1	517	136013	
24	76	3	1	-1	783	142013	
25	46	3	1	-2	783	148013	
26	58	2	1	-2	667	154013	
27	62	4	1	-2	550	160013	
28	28	1	1	-2	533	166013	
29	73	4	1	-2	567	172013	
30	18	3	1	-2	633	178013	
31	72	1	1	-2	716	184013	
32	14	2	1	-2	816	190013	
33	87	2	0	-1	716	196013	
34	37	4	0	-1	466	202013	
35	20	1	0	-1	716	208013	
36	10	3	0	-1	616	214013	
37	63	1	0	-1	533	220013	
38	32	4	0	-1	833	226012	
39	41	3	0	-1	1500	232012	
40	9	2	0	-1	584	238012	
41	96	2	1	-2	767	244012	
42	60	3	1	-2	617	250012	
43	19	1	1	-2	650	256012	
44	45	4	1	-2	617	262012	
45	17	1	1	-2	517	268012	
46	50	3	1	-2	650	274012	
47	88	4	1	-2	633	280012	
48	84	2	1	-2	533	286012	
49	11	4	0	-1	833	292012	
50	4	2	0	-1	750	298012	
51	36	3	0	-1	617	304012	
52	34	1	0	-1	667	310012	
53	82	1	0	-1	633	316012	
54	65	4	0	-1	783	322012	
55	30	3	0	-1	716	328012	
56	80	2	0	-1	933	334012	
57	21	3	1	-2	983	340012	
58	5	4	1	-2	816	346012	
59	74	1	1	-2	750	352012	
60	61	2	1	-2	633	358012	
61	83	3	1	-2	716	364011	
62	43	1	1	-2	666	370011	
63	86	2	1	-2	950	376011	
64	94	4	1	-2	784	382011	
65	52	3	0	-1	1500	388011	
66	7	4	0	-1	584	394011	
67	25	1	0	-1	717	400011	
68	92	2	0	-1	1017	406011	
69	6	2	0	-1	767	412011	
70	2	3	0	-1	917	418011	
71	16	1	0	-1	833	424011	
72	24	4	0	-1	867	430011	
73	90	3	1	-2	917	436011	
74	15	4	1	-2	733	442011	
75	59	1	1	-2	683	448011	
76	78	2	1	-2	683	454011	
77	57	4	1	-2	616	460011	
78	47	2	1	-2	633	466011	
79	8	1	1	-2	533	472011	
80	44	3	1	-2	450	478011	
81	71	2	0	-1	550	484011	
82	13	1	0	-1	1050	490011	
83	23	3	0	-1	516	496011	
84	85	4	0	-1	733	502010	
85	75	2	0	-1	833	508010	
86	55	1	0	-1	767	514010	
87	67	4	0	-1	917	520010	
88	38	3	0	-1	850	526010	
89	33	3	1	-2	834	4015	
90	3	4	1	-2	684	10015	
91	49	2	1	-2	567	16015	
92	89	1	1	-2	517	22015	
93	27	4	1	-2	517	28015	
94	35	3	1	-2	617	34015	
95	68	2	1	-2	483	40015	
96	70	1	1	-2	483	46015	
