Trial	X	Y
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	2.5	-1.25	
1	5	-1.25	
1	15	-3.75	
1	20	-3.75	
1	26.25	-3.75	
1	31.25	-3.75	
1	46.25	-3.75	
1	71.25	-5	
1	80	-5	
1	88.75	-7.5	
1	107.5	-8.75	
1	116.25	-11.25	
1	135	-12.5	
1	155	-15	
1	165	-15	
1	175	-15	
1	195	-15	
1	222.5	-12.5	
1	231.25	-11.25	
1	231.25	-11.25	
1	253.75	-8.75	
1	261.25	-7.5	
1	271.25	-7.5	
1	278.75	-7.5	
1	281.25	-5	
1	283.75	-5	
1	290	-5	
1	298.75	-3.75	
1	302.5	-3.75	
1	305	-3.75	
1	310	-3.75	
1	312.5	-3.75	
1	317.5	-3.75	
1	321.25	-3.75	
1	325	-3.75	
1	326.25	-3.75	
1	331.25	-3.75	
1	335	-3.75	
1	336.25	-3.75	
1	336.25	-3.75	
1	337.5	-3.75	
1	337.5	-3.75	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	1.25	0	
2	1.25	0	
2	1.25	0	
2	1.25	0	
2	0	8.75	
2	0	8.75	
2	0	8.75	
2	0	8.75	
2	0	8.75	
2	0	8.75	
2	0	8.75	
2	0	8.75	
2	0	8.75	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
2	-13.75	190	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	1.25	0	
3	2.5	0	
3	5	0	
3	11.25	-2.5	
3	15	-2.5	
3	21.25	-2.5	
3	26.25	-2.5	
3	31.25	0	
3	60	1.25	
3	67.5	1.25	
3	76.25	1.25	
3	85	3.75	
3	101.25	5	
3	120	5	
3	127.5	5	
3	145	7.5	
3	152.5	7.5	
3	160	8.75	
3	182.5	8.75	
3	195	11.25	
3	201.25	12.5	
3	207.5	12.5	
3	220	15	
3	230	16.25	
3	235	16.25	
3	243.75	16.25	
3	247.5	15	
3	251.25	15	
3	263.75	11.25	
3	272.5	8.75	
3	277.5	7.5	
3	282.5	5	
3	292.5	3.75	
3	302.5	1.25	
3	308.75	1.25	
3	308.75	1.25	
3	308.75	1.25	
3	308.75	1.25	
3	308.75	1.25	
3	308.75	1.25	
3	308.75	1.25	
3	308.75	1.25	
3	308.75	1.25	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	1.25	0	
4	6.25	2.5	
4	12.5	2.5	
4	17.5	3.75	
4	22.5	3.75	
4	28.75	3.75	
4	47.5	7.5	
4	63.75	7.5	
4	72.5	7.5	
4	80	10	
4	100	11.25	
4	118.75	13.75	
4	128.75	15	
4	148.75	13.75	
4	157.5	13.75	
4	167.5	13.75	
4	191.25	11.25	
4	205	7.5	
4	211.25	6.25	
4	217.5	3.75	
4	221.25	3.75	
4	235	0	
4	240	0	
4	250	-1.25	
4	255	0	
4	260	0	
4	275	0	
4	285	0	
4	288.75	0	
4	293.75	0	
4	298.75	0	
4	312.5	0	
4	317.5	0	
4	326.25	0	
4	330	0	
4	333.75	0	
4	343.75	3.75	
4	343.75	3.75	
4	343.75	3.75	
4	343.75	3.75	
4	343.75	3.75	
4	343.75	3.75	
4	343.75	3.75	
4	343.75	3.75	
4	343.75	3.75	
4	343.75	3.75	
4	343.75	3.75	
4	343.75	3.75	
4	343.75	3.75	
4	343.75	3.75	
4	343.75	3.75	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	5	1.25	
5	8.75	1.25	
5	12.5	1.25	
5	22.5	3.75	
5	27.5	5	
5	40	7.5	
5	60	8.75	
5	70	8.75	
5	80	11.25	
5	91.25	12.5	
5	123.75	12.5	
5	135	12.5	
5	145	12.5	
5	165	12.5	
5	175	12.5	
5	202.5	12.5	
5	211.25	11.25	
5	220	11.25	
5	227.5	8.75	
5	241.25	8.75	
5	252.5	5	
5	257.5	5	
5	266.25	5	
5	270	5	
5	273.75	5	
5	282.5	5	
5	287.5	5	
5	287.5	5	
5	287.5	5	
5	287.5	5	
5	287.5	5	
5	287.5	5	
5	287.5	5	
5	287.5	5	
5	287.5	5	
5	287.5	5	
5	348.75	16.25	
5	348.75	16.25	
5	348.75	16.25	
5	348.75	16.25	
5	348.75	16.25	
5	348.75	16.25	
5	348.75	16.25	
5	348.75	16.25	
5	348.75	16.25	
5	348.75	16.25	
5	348.75	16.25	
5	348.75	16.25	
5	348.75	16.25	
5	348.75	16.25	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	1.25	0	
6	3.75	0	
6	11.25	0	
6	17.5	0	
6	23.75	0	
6	31.25	0	
6	38.75	2.5	
6	55	2.5	
6	70	3.75	
6	78.75	3.75	
6	86.25	3.75	
6	101.25	3.75	
6	123.75	3.75	
6	130	6.25	
6	137.5	6.25	
6	151.25	7.5	
6	157.5	7.5	
6	170	7.5	
6	183.75	7.5	
6	190	7.5	
6	196.25	7.5	
6	210	6.25	
6	228.75	3.75	
6	233.75	3.75	
6	240	3.75	
6	246.25	2.5	
6	246.25	2.5	
6	246.25	2.5	
6	246.25	2.5	
6	246.25	2.5	
6	246.25	2.5	
6	246.25	2.5	
6	246.25	2.5	
6	246.25	2.5	
6	246.25	2.5	
6	331.25	7.5	
6	332.5	7.5	
6	337.5	7.5	
6	342.5	10	
6	345	10	
6	347.5	10	
6	348.75	10	
6	348.75	10	
6	348.75	10	
6	348.75	10	
6	348.75	10	
6	348.75	10	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	2.5	0	
7	3.75	0	
7	6.25	0	
7	8.75	0	
7	16.25	1.25	
7	26.25	1.25	
7	38.75	3.75	
7	46.25	5	
7	53.75	5	
7	62.5	5	
7	96.25	5	
7	105	5	
7	115	3.75	
7	125	1.25	
7	143.75	1.25	
7	162.5	0	
7	171.25	-2.5	
7	190	-2.5	
7	198.75	-3.75	
7	207.5	-3.75	
7	232.5	-6.25	
7	247.5	-6.25	
7	253.75	-6.25	
7	260	-6.25	
7	270	-6.25	
7	280	-6.25	
7	283.75	-6.25	
7	292.5	-6.25	
7	297.5	-6.25	
7	301.25	-6.25	
7	313.75	-2.5	
7	321.25	-2.5	
7	323.75	0	
7	327.5	0	
7	332.5	0	
7	336.25	1.25	
7	337.5	1.25	
7	340	1.25	
7	342.5	1.25	
7	342.5	1.25	
7	345	1.25	
7	345	1.25	
7	345	1.25	
7	345	1.25	
7	345	1.25	
7	345	1.25	
7	345	1.25	
7	345	1.25	
7	345	1.25	
7	345	1.25	
7	345	1.25	
7	345	1.25	
7	345	1.25	
7	345	1.25	
7	345	1.25	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	1.25	0	
8	5	0	
8	8.75	0	
8	15	0	
8	20	0	
8	30	0	
8	42.5	0	
8	58.75	0	
8	66.25	2.5	
8	75	2.5	
8	83.75	3.75	
8	112.5	3.75	
8	123.75	3.75	
8	133.75	3.75	
8	156.25	3.75	
8	178.75	3.75	
8	200	2.5	
8	221.25	2.5	
8	231.25	2.5	
8	241.25	2.5	
8	251.25	2.5	
8	278.75	2.5	
8	287.5	3.75	
8	295	3.75	
8	308.75	3.75	
8	321.25	3.75	
8	331.25	6.25	
8	337.5	7.5	
8	346.25	7.5	
8	348.75	10	
8	348.75	10	
8	348.75	10	
8	348.75	10	
8	348.75	10	
8	348.75	10	
8	348.75	10	
8	348.75	10	
8	348.75	10	
8	348.75	10	
8	348.75	10	
8	348.75	10	
8	348.75	10	
8	348.75	10	
8	348.75	10	
8	348.75	10	
8	348.75	10	
8	348.75	10	
8	348.75	10	
8	348.75	10	
8	348.75	10	
8	348.75	10	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	1.25	-2.5	
9	3.75	-2.5	
9	8.75	-3.75	
9	11.25	-3.75	
9	13.75	-3.75	
9	16.25	-2.5	
9	26.25	-2.5	
9	31.25	-2.5	
9	36.25	-2.5	
9	46.25	0	
9	58.75	1.25	
9	72.5	5	
9	80	5	
9	87.5	8.75	
9	103.75	11.25	
9	112.5	12.5	
9	136.25	15	
9	145	15	
9	153.75	15	
9	162.5	15	
9	180	15	
9	208.75	12.5	
9	220	12.5	
9	231.25	12.5	
9	252.5	11.25	
9	263.75	11.25	
9	287.5	8.75	
9	298.75	7.5	
9	320	5	
9	328.75	5	
9	348.75	5	
9	348.75	5	
9	348.75	5	
9	348.75	5	
9	348.75	5	
9	348.75	5	
9	348.75	5	
9	348.75	5	
9	348.75	5	
9	348.75	5	
9	348.75	5	
9	348.75	5	
9	348.75	5	
9	348.75	5	
9	348.75	5	
9	348.75	5	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	3.75	2.5	
10	11.25	2.5	
10	16.25	2.5	
10	23.75	2.5	
10	40	2.5	
10	60	0	
10	70	0	
10	93.75	-1.25	
10	107.5	-3.75	
10	135	-3.75	
