Trial	ObjID	LocID	FB	Task	RT	Stim
1	32	2	1	-1	781	4011	
2	42	4	1	-1	433	10009	
3	31	1	1	-1	817	16009	
4	51	3	1	-1	617	22009	
5	8	3	1	-1	617	28009	
6	27	4	1	-1	717	34009	
7	17	2	1	-1	550	40009	
8	45	1	1	-1	617	46009	
9	18	2	1	-2	767	52009	
10	24	3	1	-2	484	58009	
11	21	1	1	-2	617	64009	
12	79	4	1	-2	517	70009	
13	22	3	1	-2	834	76009	
14	94	4	1	-2	733	82009	
15	14	2	1	-2	566	88010	
16	66	1	1	-2	633	94009	
17	59	3	1	-1	866	100010	
18	50	4	1	-1	566	106010	
19	9	2	1	-1	416	112010	
20	5	1	1	-1	566	118010	
21	64	1	1	-1	1500	124010	
22	29	4	1	-1	233	130010	
23	3	3	1	-1	666	136010	
24	38	2	1	-1	1266	142010	
25	46	3	1	-2	1383	148010	
26	39	4	1	-2	650	154010	
27	1	2	1	-2	667	160010	
28	72	1	1	-2	817	166010	
29	70	2	1	-2	1017	172010	
30	76	4	1	-2	483	178010	
31	71	1	1	-2	550	184010	
32	73	3	1	-2	567	190010	
33	57	3	0	-1	717	196010	
34	62	4	0	-1	1417	202010	
35	86	2	0	-1	650	208010	
36	10	1	0	-1	450	214010	
37	91	1	0	-1	350	220010	
38	6	4	0	-1	450	226010	
39	43	2	0	-1	450	232010	
40	55	3	0	-1	516	238011	
41	75	4	1	-2	849	244010	
42	12	3	1	-2	416	250011	
43	63	2	1	-2	433	256011	
44	58	1	1	-2	450	262011	
45	2	2	1	-2	1500	268011	
46	90	3	1	-2	416	274011	
47	85	4	1	-2	450	280011	
48	28	1	1	-2	1216	286011	
49	47	4	0	-1	416	292011	
50	65	2	0	-1	517	298011	
51	15	3	0	-1	633	304011	
52	40	1	0	-1	1500	310011	
53	88	3	0	-1	533	316011	
54	53	2	0	-1	583	322011	
55	26	4	0	-1	517	328011	
56	20	1	0	-1	617	334011	
57	95	1	1	-2	417	340011	
58	87	4	1	-2	433	346011	
59	67	2	1	-2	1500	352011	
60	41	3	1	-2	650	358011	
61	25	3	1	-2	617	364011	
62	16	4	1	-2	417	370011	
63	84	1	1	-2	467	376011	
64	74	2	1	-2	617	382011	
65	11	1	0	-1	1500	388012	
66	60	2	0	-1	1500	394011	
67	52	4	0	-1	566	400011	
68	13	3	0	-1	616	406012	
69	83	4	0	-1	466	412012	
70	89	2	0	-1	766	418012	
71	54	3	0	-1	416	424012	
72	34	1	0	-1	783	430012	
73	96	3	1	-2	516	436012	
74	4	4	1	-2	583	442012	
75	80	2	1	-2	516	448012	
76	7	1	1	-2	617	454012	
77	44	4	1	-2	550	460012	
78	92	2	1	-2	433	466012	
79	77	1	1	-2	467	472012	
80	56	3	1	-2	650	478012	
81	48	3	0	-1	683	484012	
82	35	2	0	-1	550	490012	
83	78	4	0	-1	533	496012	
84	81	1	0	-1	850	502012	
85	82	2	0	-1	884	508012	
86	49	1	0	-1	667	514012	
87	23	3	0	-1	417	520012	
88	68	4	0	-1	750	526012	
89	61	3	1	-2	1500	4011	
90	36	4	1	-2	934	10011	
91	30	1	1	-2	1500	16011	
92	19	2	1	-2	1500	22011	
93	69	1	1	-2	634	28011	
94	37	4	1	-2	1466	34011	
95	33	2	1	-2	1116	40011	
96	93	3	1	-2	1316	46011	
