Trial	Xii	Yii
1	42.5	22.5	0	30	
2	41.25	15	14	-37	
3	40	-3.75	-14	-58	
4	52.5	6.25	-21	-61	
5	47.5	8.75	-28	-83	
6	45	7.5	-57	-118	
7	60	3.75	-21	-88	
8	50	15	-22	-115	
9	41.25	0	-41	-124	
10	48.75	11.25	-71	-167	
11	56.25	-3.75	-49	-151	
12	46.25	-3.75	-73	-172	
13	40	17.5	-104	-208	
14	43.75	-7.5	-104	-211	
15	46.25	3.75	-90	-235	
16	68.75	6.25	-104	-235	
17	43.75	22.5	-105	-220	
18	46.25	15	-96	-280	
19	60	3.75	-94	-226	
20	43.75	10	-120	-250	
21	52.5	-8.75	-94	-235	
22	47.5	6.25	-87	-250	
23	55	35	-127	-245	
24	47.5	23.75	-141	-254	
25	57.5	7.5	-102	-230	
26	58.75	12.5	-131	-269	
27	42.5	10	-123	-229	
28	46.25	11.25	-154	-244	
29	41.25	2.5	-182	-226	
30	38.75	-15	-209	-226	
31	65	-22.5	-187	-211	
32	42.5	-7.5	-160	-226	
33	47.5	-7.5	-161	-223	
34	46.25	3.75	-172	-251	
35	42.5	-1.25	-148	-238	
36	58.75	-1.25	-103	-226	
37	45	10	-96	-226	
38	46.25	7.5	-93	-235	
39	43.75	-1.25	-81	-232	
40	40	1.25	-78	-203	
41	46.25	-7.5	-59	-175	
42	43.75	5	-59	-203	
43	61.25	12.5	-76	-221	
44	43.75	0	-109	-205	
45	40	3.75	-123	-241	
46	43.75	3.75	-143	-292	
47	13.75	78.75	-114	-239	
48	58.75	3.75	-125	-202	
49	46.25	6.25	-133	-205	
50	40	-7.5	-116	-211	
51	52.5	3.75	-87	-223	
52	51.25	-1.25	-37	-247	
53	38.75	-10	-17	-188	
54	50	0	-32	-211	
55	42.5	-2.5	-24	-191	
56	48.75	-7.5	-44	-196	
57	40	-15	-9	-202	
58	51.25	2.5	-57	-238	
59	55	-10	-67	-230	
60	41.25	0	-55	-253	
61	51.25	-6.25	-57	-239	
62	37.5	-26.25	-63	-208	
63	51.25	-2.5	-47	-179	
64	45	0	-58	-211	
65	47.5	22.5	-51	-164	
66	42.5	16.25	-38	-137	
67	47.5	11.25	-55	-227	
68	47.5	11.25	-28	-232	
69	38.75	11.25	-28	-244	
70	50	12.5	-46	-248	
71	56.25	23.75	-47	-314	
72	40	17.5	-16	-295	
73	41.25	13.75	-54	-307	
74	58.75	18.75	-81	-229	
75	48.75	-3.75	-99	-88	
76	40	1.25	-45	-110	
77	71.25	7.5	-100	-145	
78	56.25	11.25	-51	-148	
79	46.25	11.25	-77	-193	
80	50	-7.5	-55	-175	
81	47.5	-3.75	-57	-181	
82	50	3.75	-27	-181	
83	50	-5	-58	-181	
84	48.75	2.5	-40	-163	
85	51.25	-5	-23	-169	
86	48.75	7.5	-18	-187	
87	47.5	-10	-13	-179	
88	55	10	-62	-220	
