Trial	Xii	Yii
1	47.5	13.75	22	-13	
2	56.25	23.75	27	-13	
3	65	-3.75	98	-13	
4	45	-7.5	117	-19	
5	46.25	2.5	94	-40	
6	53.75	3.75	100	-43	
7	46.25	-7.5	121	-58	
8	56.25	-10	76	-62	
9	41.25	-3.75	63	-61	
10	52.5	0	107	-67	
11	51.25	3.75	63	-77	
12	43.75	-1.25	56	-79	
13	51.25	-3.75	78	-76	
14	52.5	0	76	-70	
15	45	3.75	89	-73	
16	42.5	5	76	-74	
17	41.25	3.75	74	-76	
18	0	0	99	-64	
19	53.75	1.25	122	-77	
20	51.25	5	96	-71	
21	46.25	10	91	-73	
22	47.5	13.75	38	-97	
23	43.75	0	46	-94	
24	40	3.75	76	-100	
25	41.25	1.25	81	-101	
26	-141.25	-47.5	203	-70	
27	45	1.25	88	-89	
28	40	2.5	85	-91	
29	46.25	5	95	-83	
30	41.25	0	55	-91	
31	42.5	11.25	48	-112	
32	41.25	7.5	30	-121	
33	45	10	55	-130	
34	40	7.5	80	-121	
35	38.75	10	95	-109	
36	60	7.5	81	-107	
37	43.75	2.5	64	-115	
