Trial	X	Y
Trial	X	Y
Trial	X	Y
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	11.25	-2.5	
1	16.25	-2.5	
1	30	-2.5	
1	37.5	-3.75	
1	47.5	-6.25	
1	85	-10	
1	117.5	-17.5	
1	136.25	-21.25	
1	155	-25	
1	195	-35	
1	235	-41.25	
1	253.75	-45	
1	290	-45	
1	306.25	-45	
1	317.5	-45	
1	336.25	-45	
1	343.75	-45	
1	345	-45	
1	346.25	-45	
1	346.25	-45	
1	346.25	-45	
1	346.25	-45	
1	346.25	-45	
1	346.25	-45	
1	346.25	-45	
1	346.25	-45	
1	346.25	-45	
1	346.25	-45	
1	346.25	-45	
1	346.25	-45	
1	346.25	-45	
1	346.25	-45	
1	346.25	-45	
1	346.25	-45	
1	346.25	-45	
1	346.25	-45	
1	346.25	-45	
1	346.25	-45	
1	346.25	-45	
1	346.25	-45	
1	346.25	-45	
1	346.25	-45	
1	346.25	-45	
1	346.25	-45	
1	346.25	-45	
1	346.25	-45	
1	346.25	-45	
1	346.25	-45	
1	346.25	-45	
1	346.25	-45	
1	346.25	-45	
1	346.25	-45	
Trial	X	Y
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	3.75	0	
1	6.25	0	
1	11.25	0	
1	17.5	1.25	
1	56.25	12.5	
1	70	16.25	
1	83.75	20	
1	97.5	22.5	
1	111.25	23.75	
1	156.25	31.25	
1	171.25	31.25	
1	187.5	35	
1	215	38.75	
1	227.5	38.75	
1	256.25	38.75	
1	262.5	38.75	
1	272.5	35	
1	277.5	35	
1	281.25	31.25	
1	291.25	26.25	
1	295	23.75	
1	298.75	20	
1	302.5	16.25	
1	311.25	12.5	
1	323.75	7.5	
1	326.25	5	
1	328.75	3.75	
1	333.75	1.25	
1	335	-2.5	
1	338.75	-6.25	
1	341.25	-10	
1	341.25	-10	
1	342.5	-11.25	
1	342.5	-13.75	
1	342.5	-13.75	
1	342.5	-13.75	
1	342.5	-13.75	
1	342.5	-13.75	
1	342.5	-13.75	
1	342.5	-13.75	
1	342.5	-13.75	
1	342.5	-13.75	
1	342.5	-13.75	
1	342.5	-13.75	
1	342.5	-13.75	
1	342.5	-13.75	
1	342.5	-13.75	
1	342.5	-13.75	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	1.25	0	
2	1.25	0	
2	1.25	0	
2	1.25	0	
2	1.25	0	
2	1.25	0	
2	1.25	0	
2	1.25	0	
2	1.25	0	
2	1.25	0	
2	1.25	0	
2	1.25	0	
2	1.25	0	
2	1.25	0	
2	1.25	0	
2	1.25	0	
2	1.25	0	
2	1.25	0	
2	3.75	2.5	
2	5	2.5	
2	10	3.75	
2	13.75	3.75	
2	18.75	7.5	
2	42.5	11.25	
2	52.5	13.75	
2	63.75	15	
2	90	17.5	
2	103.75	17.5	
2	152.5	18.75	
2	168.75	21.25	
2	203.75	22.5	
2	221.25	25	
2	237.5	25	
2	283.75	22.5	
2	297.5	22.5	
2	320	17.5	
2	330	15	
2	340	11.25	
2	340	11.25	
2	340	11.25	
2	340	11.25	
2	340	11.25	
2	340	11.25	
2	340	11.25	
2	340	11.25	
2	340	11.25	
2	340	11.25	
2	340	11.25	
2	340	11.25	
2	340	11.25	
2	340	11.25	
2	340	11.25	
2	340	11.25	
2	340	11.25	
2	340	11.25	
2	340	11.25	
2	340	11.25	
2	340	11.25	
2	340	11.25	
2	340	11.25	
2	340	11.25	
2	340	11.25	
2	340	11.25	
2	340	11.25	
2	340	11.25	
2	340	11.25	
2	340	11.25	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	1.25	0	
3	6.25	0	
3	10	0	
3	16.25	-1.25	
3	22.5	-1.25	
3	51.25	0	
3	62.5	0	
3	76.25	0	
3	106.25	3.75	
3	122.5	6.25	
3	176.25	15	
3	195	17.5	
3	230	21.25	
3	246.25	22.5	
3	258.75	22.5	
3	291.25	18.75	
3	298.75	17.5	
3	305	15	
3	315	13.75	
3	318.75	11.25	
3	325	10	
3	326.25	10	
3	327.5	10	
3	328.75	10	
3	330	10	
3	331.25	11.25	
3	331.25	11.25	
3	331.25	11.25	
3	333.75	11.25	
3	333.75	11.25	
3	337.5	11.25	
3	338.75	11.25	
3	341.25	11.25	
3	342.5	11.25	
3	342.5	11.25	
3	343.75	11.25	
3	343.75	11.25	
3	343.75	11.25	
3	343.75	11.25	
3	343.75	11.25	
3	343.75	11.25	
3	343.75	11.25	
3	343.75	11.25	
3	343.75	11.25	
3	343.75	11.25	
3	343.75	11.25	
3	343.75	11.25	
3	343.75	11.25	
3	343.75	11.25	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	1.25	2.5	
4	6.25	3.75	
4	10	7.5	
4	16.25	10	
4	32.5	15	
4	67.5	22.5	
4	81.25	25	
4	95	26.25	
4	128.75	28.75	
4	146.25	30	
4	185	33.75	
4	223.75	41.25	
4	242.5	43.75	
4	278.75	45	
4	293.75	47.5	
4	328.75	45	
4	337.5	45	
4	343.75	45	
4	343.75	45	
4	343.75	45	
4	343.75	45	
4	343.75	45	
4	343.75	45	
4	343.75	45	
4	343.75	45	
4	343.75	45	
4	343.75	45	
4	343.75	45	
4	343.75	45	
4	343.75	45	
4	343.75	45	
4	343.75	45	
4	343.75	45	
4	343.75	45	
4	343.75	45	
4	343.75	45	
4	343.75	45	
4	343.75	45	
4	343.75	45	
4	343.75	45	
4	343.75	45	
4	343.75	45	
4	343.75	45	
4	343.75	45	
4	343.75	45	
4	343.75	45	
4	343.75	45	
4	343.75	45	
4	343.75	45	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	1.25	
5	2.5	1.25	
5	5	3.75	
5	12.5	5	
5	20	7.5	
5	46.25	11.25	
5	57.5	12.5	
5	70	12.5	
5	83.75	16.25	
5	115	20	
5	148.75	26.25	
5	181.25	30	
5	196.25	31.25	
5	222.5	30	
5	233.75	27.5	
5	262.5	23.75	
5	270	22.5	
5	277.5	20	
5	283.75	20	
5	293.75	16.25	
5	301.25	12.5	
5	307.5	11.25	
5	308.75	8.75	
5	312.5	8.75	
5	315	8.75	
5	320	7.5	
5	325	5	
5	327.5	5	
5	328.75	5	
5	331.25	5	
5	332.5	3.75	
5	335	3.75	
5	335	3.75	
5	336.25	3.75	
5	336.25	3.75	
5	336.25	3.75	
5	336.25	3.75	
5	336.25	3.75	
5	336.25	3.75	
5	336.25	3.75	
5	336.25	3.75	
5	336.25	3.75	
5	336.25	3.75	
5	336.25	3.75	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	2.5	2.5	
6	11.25	3.75	
6	17.5	6.25	
6	25	7.5	
6	37.5	7.5	
6	63.75	11.25	
6	77.5	11.25	
6	98.75	11.25	
6	136.25	13.75	
6	155	13.75	
6	171.25	15	
6	206.25	15	
6	222.5	15	
6	236.25	15	
6	260	15	
6	277.5	15	
6	291.25	17.5	
6	296.25	17.5	
6	302.5	17.5	
6	306.25	18.75	
6	307.5	18.75	
6	311.25	18.75	
6	312.5	18.75	
6	312.5	18.75	
6	312.5	18.75	
6	312.5	18.75	
6	312.5	18.75	
6	312.5	18.75	
6	312.5	18.75	
6	312.5	18.75	
6	312.5	18.75	
6	313.75	18.75	
6	313.75	18.75	
6	313.75	18.75	
6	315	18.75	
6	316.25	18.75	
6	317.5	18.75	
6	318.75	18.75	
6	320	17.5	
6	322.5	17.5	
6	322.5	17.5	
6	325	15	
6	325	15	
6	325	15	
6	325	15	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	2.5	
7	1.25	3.75	
7	2.5	3.75	
7	11.25	7.5	
7	17.5	7.5	
7	25	10	
7	45	10	
7	57.5	10	
7	72.5	10	
7	92.5	10	
7	128.75	10	
7	146.25	7.5	
7	180	7.5	
7	210	3.75	
7	225	3.75	
7	251.25	2.5	
7	263.75	0	
7	273.75	-1.25	
7	297.5	-3.75	
7	301.25	-5	
7	308.75	-7.5	
7	311.25	-7.5	
7	313.75	-7.5	
7	315	-7.5	
7	315	-7.5	
7	315	-7.5	
7	315	-7.5	
7	315	-7.5	
7	316.25	-7.5	
7	316.25	-7.5	
7	316.25	-7.5	
7	316.25	-7.5	
7	316.25	-7.5	
7	316.25	-7.5	
7	316.25	-7.5	
7	316.25	-7.5	
7	316.25	-7.5	
7	316.25	-7.5	
7	316.25	-7.5	
7	316.25	-7.5	
7	316.25	-7.5	
7	316.25	-7.5	
7	316.25	-7.5	
7	316.25	-7.5	
7	316.25	-7.5	
7	316.25	-7.5	
7	316.25	-7.5	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	2.5	0	
8	7.5	0	
8	13.75	2.5	
8	20	3.75	
8	28.75	3.75	
8	65	7.5	
8	95	7.5	
8	111.25	7.5	
8	127.5	6.25	
8	162.5	3.75	
8	198.75	3.75	
8	217.5	3.75	
8	252.5	7.5	
8	268.75	7.5	
8	283.75	11.25	
8	317.5	15	
8	331.25	15	
8	336.25	15	
8	341.25	15	
8	348.75	13.75	
8	348.75	13.75	
8	348.75	13.75	
8	348.75	13.75	
8	348.75	13.75	
8	348.75	13.75	
8	348.75	13.75	
8	348.75	13.75	
8	348.75	13.75	
8	348.75	13.75	
8	348.75	13.75	
8	348.75	13.75	
8	348.75	13.75	
8	348.75	13.75	
8	348.75	13.75	
8	348.75	13.75	
8	348.75	13.75	
8	348.75	13.75	
8	348.75	13.75	
8	348.75	13.75	
8	348.75	13.75	
8	348.75	13.75	
8	348.75	13.75	
8	348.75	13.75	
8	348.75	13.75	
8	348.75	13.75	
8	348.75	13.75	
8	348.75	13.75	
8	348.75	13.75	
8	348.75	13.75	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
