Trial	X	Y
1	0	0	
1	0	-1.25	
1	0	-1.25	
1	0	0	
1	0	-1.25	
1	0	-1.25	
1	0	-1.25	
1	0	-1.25	
1	0	-1.25	
1	0	-1.25	
1	0	-1.25	
1	0	-1.25	
1	0	-1.25	
1	0	-3.75	
1	0	-3.75	
1	0	-1.25	
1	0	-1.25	
1	0	-1.25	
1	1.25	-1.25	
1	1.25	-1.25	
1	1.25	-1.25	
1	1.25	-3.75	
1	1.25	-3.75	
1	0	-1.25	
1	1.25	-1.25	
1	5	-1.25	
1	7.5	-1.25	
1	13.75	0	
1	17.5	0	
1	26.25	2.5	
1	36.25	3.75	
1	50	3.75	
1	57.5	3.75	
1	65	6.25	
1	73.75	3.75	
1	100	11.25	
1	110	15	
1	128.75	22.5	
1	137.5	26.25	
1	155	33.75	
1	176.25	45	
1	187.5	52.5	
1	200	63.75	
1	226.25	85	
1	237.5	93.75	
1	253.75	105	
1	263.75	112.5	
1	270	116.25	
1	272.5	116.25	
1	275	118.75	
1	278.75	120	
1	282.5	120	
1	283.75	120	
1	287.5	120	
1	290	120	
1	295	122.5	
1	300	122.5	
1	306.25	120	
1	308.75	120	
1	311.25	120	
1	317.5	116.25	
1	320	116.25	
1	321.25	112.5	
1	323.75	108.75	
1	326.25	105	
1	328.75	101.25	
1	330	92.5	
1	331.25	86.25	
1	331.25	82.5	
1	331.25	78.75	
1	332.5	70	
1	332.5	67.5	
1	331.25	63.75	
1	331.25	60	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	1.25	0	
2	1.25	0	
2	1.25	0	
2	1.25	0	
2	1.25	0	
2	1.25	0	
2	1.25	0	
2	1.25	0	
2	1.25	0	
2	1.25	0	
2	1.25	-1.25	
2	3.75	0	
2	6.25	0	
2	8.75	0	
2	26.25	3.75	
2	31.25	6.25	
2	36.25	7.5	
2	43.75	7.5	
2	58.75	13.75	
2	76.25	15	
2	85	17.5	
2	105	17.5	
2	116.25	17.5	
2	136.25	18.75	
2	157.5	18.75	
2	178.75	18.75	
2	190	21.25	
2	201.25	22.5	
2	220	22.5	
2	233.75	21.25	
2	240	18.75	
2	250	18.75	
2	255	18.75	
2	263.75	18.75	
2	271.25	18.75	
2	277.5	21.25	
2	280	22.5	
2	283.75	25	
2	287.5	26.25	
2	295	32.5	
2	301.25	33.75	
2	303.75	36.25	
2	305	37.5	
2	311.25	37.5	
2	316.25	37.5	
2	318.75	37.5	
2	322.5	37.5	
2	325	40	
2	327.5	40	
2	332.5	41.25	
2	333.75	41.25	
2	333.75	41.25	
2	333.75	41.25	
2	335	41.25	
2	336.25	41.25	
2	337.5	41.25	
2	338.75	37.5	
2	340	36.25	
2	341.25	33.75	
2	345	26.25	
2	346.25	25	
2	347.5	22.5	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	-1.25	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	1.25	0	
3	3.75	2.5	
3	18.75	11.25	
3	25	12.5	
3	32.5	16.25	
3	48.75	16.25	
3	57.5	16.25	
3	75	12.5	
3	92.5	8.75	
3	101.25	3.75	
3	112.5	2.5	
3	137.5	-3.75	
3	165	-7.5	
3	178.75	-7.5	
3	207.5	-11.25	
3	237.5	-11.25	
3	250	-12.5	
3	273.75	-16.25	
3	291.25	-22.5	
3	300	-22.5	
3	307.5	-26.25	
3	315	-26.25	
3	332.5	-26.25	
3	340	-26.25	
3	340	-26.25	
3	340	-26.25	
3	340	-26.25	
3	340	-26.25	
3	340	-26.25	
3	340	-26.25	
3	340	-26.25	
3	340	-26.25	
3	340	-26.25	
3	340	-26.25	
3	340	-26.25	
3	340	-26.25	
3	340	-26.25	
3	340	-26.25	
3	340	-26.25	
3	340	-26.25	
3	340	-26.25	
3	340	-26.25	
3	340	-26.25	
3	340	-26.25	
3	340	-26.25	
3	340	-26.25	
3	340	-26.25	
3	340	-26.25	
3	340	-26.25	
3	340	-26.25	
3	340	-26.25	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	1.25	0	
4	7.5	0	
4	16.25	3.75	
4	22.5	6.25	
4	30	7.5	
4	48.75	15	
4	73.75	21.25	
4	87.5	25	
4	118.75	30	
4	136.25	32.5	
4	136.25	32.5	
4	186.25	32.5	
4	200	30	
4	213.75	30	
4	238.75	30	
4	248.75	30	
4	265	32.5	
4	277.5	33.75	
4	286.25	36.25	
4	292.5	37.5	
4	300	40	
4	322.5	37.5	
4	327.5	37.5	
4	333.75	33.75	
4	337.5	33.75	
4	346.25	28.75	
4	346.25	28.75	
4	346.25	28.75	
4	346.25	28.75	
4	346.25	28.75	
4	346.25	28.75	
4	346.25	28.75	
4	346.25	28.75	
4	346.25	28.75	
4	346.25	28.75	
4	346.25	28.75	
4	346.25	28.75	
4	346.25	28.75	
4	346.25	28.75	
4	346.25	28.75	
4	346.25	28.75	
4	346.25	28.75	
4	346.25	28.75	
4	346.25	28.75	
4	346.25	28.75	
4	346.25	28.75	
4	346.25	28.75	
4	346.25	28.75	
4	346.25	28.75	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	2.5	
5	0	2.5	
5	0	2.5	
5	0	2.5	
5	0	2.5	
5	-1.25	3.75	
5	0	3.75	
5	0	3.75	
5	0	3.75	
5	0	3.75	
5	-1.25	3.75	
5	0	3.75	
5	0	3.75	
5	0	3.75	
5	0	3.75	
5	0	3.75	
5	0	3.75	
5	2.5	2.5	
5	5	2.5	
5	11.25	2.5	
5	21.25	2.5	
5	33.75	2.5	
5	40	2.5	
5	48.75	0	
5	57.5	0	
5	90	0	
5	101.25	0	
5	125	2.5	
5	138.75	3.75	
5	166.25	8.75	
5	180	12.5	
5	212.5	18.75	
5	226.25	22.5	
5	240	23.75	
5	251.25	27.5	
5	282.5	35	
5	290	38.75	
5	303.75	45	
5	311.25	50	
5	326.25	56.25	
5	340	57.5	
5	340	57.5	
5	340	57.5	
5	340	57.5	
5	340	57.5	
5	340	57.5	
5	340	57.5	
5	340	57.5	
5	340	57.5	
5	340	57.5	
5	340	57.5	
5	340	57.5	
5	340	57.5	
5	340	57.5	
5	340	57.5	
5	340	57.5	
5	340	57.5	
5	340	57.5	
5	340	57.5	
5	340	57.5	
5	340	57.5	
5	340	57.5	
5	340	57.5	
5	340	57.5	
5	340	57.5	
5	340	57.5	
5	340	57.5	
5	340	57.5	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	2.5	
6	0	2.5	
6	0	0	
6	0	0	
6	0	0	
6	0	2.5	
6	0	2.5	
6	0	2.5	
6	0	2.5	
6	1.25	2.5	
6	1.25	2.5	
6	1.25	2.5	
6	1.25	2.5	
6	1.25	2.5	
6	1.25	2.5	
6	5	0	
6	7.5	0	
6	12.5	-1.25	
6	25	-5	
6	36.25	-7.5	
6	61.25	-11.25	
6	82.5	-11.25	
6	102.5	-8.75	
6	125	-7.5	
6	147.5	-7.5	
6	203.75	-5	
6	221.25	-7.5	
6	237.5	-7.5	
6	272.5	-7.5	
6	272.5	-7.5	
6	317.5	-7.5	
6	328.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
6	348.75	-7.5	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	1.25	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	1.25	0	
7	1.25	1.25	
7	1.25	0	
7	1.25	0	
7	0	1.25	
7	0	1.25	
7	0	1.25	
7	0	1.25	
7	0	1.25	
7	0	1.25	
7	0	1.25	
7	0	1.25	
7	0	1.25	
7	1.25	1.25	
7	3.75	1.25	
7	15	5	
7	21.25	5	
7	27.5	5	
7	42.5	5	
7	52.5	5	
7	65	7.5	
7	98.75	12.5	
7	115	15	
7	148.75	16.25	
7	165	18.75	
7	183.75	16.25	
7	217.5	12.5	
7	245	8.75	
7	257.5	5	
7	268.75	5	
7	278.75	1.25	
7	301.25	-2.5	
7	307.5	-2.5	
7	318.75	-2.5	
7	325	-2.5	
7	333.75	-2.5	
7	343.75	-2.5	
7	348.75	0	
7	348.75	0	
7	348.75	0	
7	348.75	0	
7	348.75	0	
7	348.75	0	
7	348.75	0	
7	348.75	0	
7	348.75	0	
7	348.75	0	
7	348.75	0	
7	348.75	0	
7	348.75	0	
7	348.75	0	
7	348.75	0	
7	348.75	0	
7	348.75	0	
7	348.75	0	
7	348.75	0	
7	348.75	0	
7	348.75	0	
7	348.75	0	
7	348.75	0	
7	348.75	0	
7	348.75	0	
7	348.75	0	
7	348.75	0	
8	0	0	
8	-1.25	2.5	
8	-1.25	0	
8	-1.25	0	
8	-1.25	0	
8	-1.25	0	
8	-1.25	2.5	
8	-1.25	0	
8	-1.25	2.5	
8	-1.25	0	
8	-1.25	0	
8	-1.25	0	
8	-1.25	0	
8	-1.25	0	
8	-1.25	0	
8	-1.25	0	
8	-1.25	0	
8	-1.25	0	
8	-1.25	0	
8	-1.25	0	
8	0	0	
8	1.25	0	
8	7.5	0	
8	11.25	0	
8	22.5	3.75	
8	31.25	3.75	
8	56.25	6.25	
8	56.25	6.25	
8	83.75	11.25	
8	98.75	15	
8	112.5	17.5	
8	151.25	22.5	
8	176.25	26.25	
8	190	26.25	
8	203.75	26.25	
8	227.5	30	
8	250	30	
8	261.25	30	
8	282.5	33.75	
8	291.25	33.75	
8	300	33.75	
8	320	30	
8	331.25	28.75	
8	337.5	26.25	
8	341.25	25	
8	346.25	22.5	
8	346.25	22.5	
8	346.25	22.5	
8	346.25	22.5	
8	346.25	22.5	
8	346.25	22.5	
8	346.25	22.5	
8	346.25	22.5	
8	346.25	22.5	
8	346.25	22.5	
8	346.25	22.5	
8	346.25	22.5	
8	346.25	22.5	
8	346.25	22.5	
8	346.25	22.5	
8	346.25	22.5	
8	346.25	22.5	
8	346.25	22.5	
8	346.25	22.5	
8	346.25	22.5	
8	346.25	22.5	
8	346.25	22.5	
8	346.25	22.5	
