Trial	ObjID	LocID	FB	Task	RT	Stim
1	14	3	1	-1	652	4019	
2	23	4	1	-1	584	10008	
3	65	1	1	-1	534	15996	
4	36	2	1	-1	484	21984	
5	89	4	1	-1	484	27989	
6	12	1	1	-1	534	33977	
7	77	3	1	-1	534	39965	
8	93	2	1	-1	417	45953	
9	48	2	1	-2	534	51958	
10	20	3	1	-2	484	57946	
11	51	4	1	-2	501	63934	
12	19	1	1	-2	451	69939	
13	68	1	1	-2	534	75927	
14	95	4	1	-2	551	81915	
15	43	2	1	-2	467	87920	
16	94	3	1	-2	468	93908	
17	83	1	1	-1	501	99896	
18	88	2	1	-1	501	105901	
19	49	4	1	-1	468	111889	
20	10	3	1	-1	534	117877	
21	22	4	1	-1	501	123882	
22	25	2	1	-1	668	129870	
23	79	3	1	-1	568	135858	
24	64	1	1	-1	501	141863	
25	4	3	1	-2	501	147851	
26	85	1	1	-2	601	153839	
27	59	4	1	-2	451	159844	
28	18	2	1	-2	467	165832	
29	39	2	1	-2	568	171820	
30	11	3	1	-2	551	177808	
31	66	4	1	-2	467	183813	
32	3	1	1	-2	534	189801	
33	33	3	0	-1	551	195789	
34	46	2	0	-1	551	201794	
35	58	1	0	-1	568	207782	
36	78	4	0	-1	735	213770	
37	63	1	0	-1	501	219775	
38	24	2	0	-1	768	225763	
39	67	3	0	-1	501	231751	
40	70	4	0	-1	584	237756	
41	41	4	1	-2	734	243744	
42	86	1	1	-2	684	249732	
43	52	3	1	-2	601	255737	
44	50	2	1	-2	634	261725	
45	53	3	1	-2	534	267713	
46	57	4	1	-2	534	273718	
47	21	2	1	-2	534	279706	
48	6	1	1	-2	534	285694	
49	40	1	0	-1	634	291699	
50	82	3	0	-1	467	297687	
51	81	4	0	-1	501	303675	
52	28	2	0	-1	484	309663	
53	55	4	0	-1	501	315668	
54	56	2	0	-1	434	321656	
55	76	1	0	-1	501	327644	
56	27	3	0	-1	901	333649	
57	71	2	1	-2	634	339637	
58	92	1	1	-2	501	345625	
59	44	3	1	-2	634	351630	
60	30	4	1	-2	501	357618	
61	42	2	1	-2	501	363606	
62	47	3	1	-2	484	369611	
63	13	1	1	-2	501	375599	
64	96	4	1	-2	501	381587	
65	61	3	0	-1	351	387592	
66	73	2	0	-1	484	393580	
67	87	1	0	-1	151	399568	
68	54	4	0	-1	584	405573	
69	74	3	0	-1	584	411561	
70	9	1	0	-1	584	417549	
71	2	2	0	-1	534	423537	
72	80	4	0	-1	484	429542	
73	7	4	1	-2	468	435530	
74	26	2	1	-2	551	441518	
75	8	3	1	-2	484	447523	
76	91	1	1	-2	468	453511	
77	35	4	1	-2	701	459499	
78	60	1	1	-2	684	465504	
79	1	2	1	-2	551	471492	
80	90	3	1	-2	468	477480	
81	32	1	0	-1	467	483485	
82	29	4	0	-1	484	489473	
83	15	2	0	-1	568	495461	
84	31	3	0	-1	167	501466	
85	69	3	0	-1	601	507454	
86	84	2	0	-1	601	513442	
87	16	1	0	-1	734	519447	
88	75	4	0	-1	501	525435	
89	62	4	1	-2	553	4012	
90	38	1	1	-2	451	10019	
91	45	2	1	-2	534	16024	
92	37	3	1	-2	467	22029	
93	5	4	1	-2	451	28017	
94	34	1	1	-2	551	34005	
95	17	3	1	-2	584	39993	
96	72	2	1	-2	534	45998	
