Trial	ObjID	LocID	FB	Task	RT	Stim
1	91	1	1	-1	875	4004	
2	88	4	1	-1	529	10009	
3	54	2	1	-1	1500	16018	
Trial	ObjID	LocID	FB	Task	RT	Stim
Trial	ObjID	LocID	FB	Task	RT	Stim
1	73	2	1	-1	510	4014	
2	45	1	1	-1	1500	10020	
3	20	4	1	-1	862	16029	
Trial	ObjID	LocID	FB	Task	RT	Stim
1	35	1	1	-1	455	4010	
2	61	4	1	-1	595	10011	
Trial	ObjID	LocID	FB	Task	RT	Stim
1	3	4	1	-1	123	4017	
2	92	3	1	-1	512	10019	
Trial	ObjID	LocID	FB	Task	RT	Stim
1	7	1	1	-1	355	4021	
Trial	ObjID	LocID	FB	Task	RT	Stim
Trial	ObjID	LocID	FB	Task	RT	Stim
1	32	4	1	-1	866	4015	
2	79	1	1	-1	829	10011	
3	38	2	1	-1	63	16020	
4	93	3	1	-1	645	22029	
5	92	2	1	-1	895	28038	
6	26	4	1	-1	1500	34047	
7	15	3	1	-1	1500	40055	
8	3	1	1	-1	462	46065	
9	82	4	1	-2	546	52073	
10	74	2	1	-2	512	58082	
11	48	1	1	-2	496	64091	
12	30	3	1	-2	429	70100	
13	10	3	1	-2	695	76109	
14	76	1	1	-2	63	82117	
15	33	4	1	-2	496	88126	
16	5	2	1	-2	496	94135	
17	72	3	1	-1	645	100144	
18	11	4	1	-1	212	106153	
19	61	1	1	-1	296	112162	
20	95	2	1	-1	512	118170	
21	41	2	1	-1	1262	124179	
22	65	3	1	-1	546	130188	
23	66	1	1	-1	695	136197	
24	40	4	1	-1	612	142206	
25	44	1	1	-2	595	148215	
26	85	3	1	-2	595	154224	
27	73	2	1	-2	563	160232	
28	71	4	1	-2	213	166241	
29	34	2	1	-2	496	172250	
30	18	3	1	-2	595	178259	
31	42	4	1	-2	662	184268	
32	50	1	1	-2	662	190277	
33	6	4	0	-1	1028	196285	
34	35	2	0	-1	646	202294	
35	58	1	0	-1	1112	208303	
36	89	3	0	-1	1145	214312	
37	96	2	0	-1	695	220321	
38	13	3	0	-1	362	226330	
Trial	ObjID	LocID	FB	Task	RT	Stim
1	33	4	1	-1	931	4021	
2	43	1	1	-1	651	10006	
3	18	3	1	-1	734	15994	
4	28	2	1	-1	801	21982	
5	84	3	1	-1	701	27970	
6	59	2	1	-1	634	33958	
7	78	4	1	-1	684	39947	
8	6	1	1	-1	934	45951	
9	19	2	1	-2	651	51939	
10	20	3	1	-2	668	57927	
11	74	1	1	-2	834	63932	
12	11	4	1	-2	651	69920	
13	80	3	1	-2	735	75908	
14	5	2	1	-2	651	81913	
15	76	4	1	-2	634	87901	
16	86	1	1	-2	684	93889	
17	55	3	1	-1	601	99894	
18	22	2	1	-1	751	105882	
19	13	1	1	-1	734	111870	
20	34	4	1	-1	668	117875	
21	45	2	1	-1	701	123863	
22	39	1	1	-1	651	129851	
23	17	4	1	-1	584	135856	
24	88	3	1	-1	668	141844	
25	64	3	1	-2	601	147832	
26	35	1	1	-2	701	153820	
27	7	2	1	-2	634	159825	
28	25	4	1	-2	651	165813	
29	36	4	1	-2	785	171801	
30	87	3	1	-2	734	177806	
31	47	2	1	-2	1035	183794	
32	70	1	1	-2	668	189782	
33	50	4	0	-1	684	195787	
34	95	2	0	-1	734	201775	
35	38	3	0	-1	985	207763	
36	75	1	0	-1	634	213768	
37	40	2	0	-1	734	219756	
38	94	4	0	-1	568	225744	
39	82	3	0	-1	701	231749	
40	2	1	0	-1	734	237737	
41	60	1	1	-2	785	243725	
42	68	4	1	-2	734	249730	
43	52	3	1	-2	634	255718	
44	29	2	1	-2	701	261706	
45	79	1	1	-2	634	267711	
46	93	2	1	-2	584	273699	
47	56	4	1	-2	734	279687	
48	90	3	1	-2	651	285675	
49	91	4	0	-1	834	291680	
50	42	2	0	-1	634	297668	
51	49	1	0	-1	568	303656	
52	32	3	0	-1	634	309661	
53	57	3	0	-1	534	315649	
54	69	2	0	-1	634	321637	
55	27	1	0	-1	634	327642	
56	89	4	0	-1	668	333630	
57	44	1	1	-2	568	339618	
58	16	4	1	-2	634	345623	
59	26	2	1	-2	584	351611	
60	12	3	1	-2	601	357599	
61	73	1	1	-2	1351	363604	
62	72	2	1	-2	651	369592	
63	24	3	1	-2	651	375580	
64	85	4	1	-2	584	381585	
65	66	1	0	-1	734	387573	
66	23	3	0	-1	584	393561	
67	46	4	0	-1	685	399549	
68	83	2	0	-1	668	405554	
69	58	2	0	-1	634	411542	
70	9	4	0	-1	634	417530	
71	71	3	0	-1	768	423535	
72	31	1	0	-1	601	429523	
73	67	1	1	-2	684	435511	
74	21	4	1	-2	634	441516	
75	15	3	1	-2	668	447504	
76	4	2	1	-2	634	453492	
77	53	3	1	-2	684	459497	
78	54	4	1	-2	634	465485	
79	77	1	1	-2	734	471473	
80	8	2	1	-2	634	477478	
81	62	2	0	-1	634	483466	
82	14	1	0	-1	601	489454	
83	63	4	0	-1	601	495459	
84	65	3	0	-1	684	501447	
85	61	3	0	-1	668	507435	
86	81	4	0	-1	534	513440	
87	48	2	0	-1	617	519428	
88	30	1	0	-1	584	525416	
89	41	4	1	-2	787	4010	
90	1	1	1	-2	651	10017	
91	37	3	1	-2	601	16022	
92	10	2	1	-2	684	22010	
93	96	2	1	-2	634	27998	
94	3	1	1	-2	634	34003	
95	51	4	1	-2	634	39991	
96	92	3	1	-2	601	45979	
