Trial	X	Y
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	-2.5	
1	1.25	-2.5	
1	2.5	-2.5	
1	3.75	-2.5	
1	7.5	-2.5	
1	8.75	-2.5	
1	11.25	-2.5	
1	13.75	-2.5	
1	20	-2.5	
1	27.5	-2.5	
1	32.5	-2.5	
1	42.5	-2.5	
1	56.25	-2.5	
1	63.75	-2.5	
1	88.75	0	
1	98.75	0	
1	108.75	1.25	
1	120	1.25	
1	141.25	1.25	
1	163.75	3.75	
1	175	5	
1	198.75	7.5	
1	223.75	12.5	
1	235	12.5	
1	262.5	18.75	
1	286.25	20	
1	297.5	20	
1	307.5	22.5	
1	323.75	22.5	
1	337.5	20	
1	342.5	20	
1	342.5	20	
1	342.5	20	
1	342.5	20	
1	342.5	20	
1	342.5	20	
1	342.5	20	
1	342.5	20	
1	342.5	20	
1	342.5	20	
1	342.5	20	
1	342.5	20	
1	342.5	20	
1	342.5	20	
1	342.5	20	
1	342.5	20	
1	342.5	20	
1	342.5	20	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	-1.25	
2	0	-1.25	
2	0	-1.25	
2	0	-1.25	
2	0	-1.25	
2	0	-1.25	
2	0	-1.25	
2	0	-1.25	
2	0	-1.25	
2	0	-1.25	
2	0	-1.25	
2	0	-1.25	
2	0	-1.25	
2	0	-1.25	
2	0	-1.25	
2	0	-1.25	
2	0	-1.25	
2	2.5	-1.25	
2	3.75	-1.25	
2	6.25	-1.25	
2	13.75	0	
2	28.75	0	
2	47.5	3.75	
2	58.75	3.75	
2	71.25	7.5	
2	71.25	7.5	
2	118.75	15	
2	150	18.75	
2	165	21.25	
2	180	22.5	
2	210	22.5	
2	237.5	22.5	
2	251.25	22.5	
2	278.75	21.25	
2	292.5	18.75	
2	305	18.75	
2	347.5	11.25	
2	347.5	11.25	
2	347.5	11.25	
2	347.5	11.25	
2	347.5	11.25	
2	347.5	11.25	
2	347.5	11.25	
2	347.5	11.25	
2	347.5	11.25	
2	347.5	11.25	
2	347.5	11.25	
2	347.5	11.25	
2	347.5	11.25	
2	347.5	11.25	
2	347.5	11.25	
2	347.5	11.25	
2	347.5	11.25	
2	347.5	11.25	
2	347.5	11.25	
2	347.5	11.25	
2	347.5	11.25	
2	347.5	11.25	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	1.25	0	
3	5	-3.75	
3	8.75	-3.75	
3	13.75	-3.75	
3	21.25	-3.75	
3	32.5	-3.75	
3	60	-3.75	
3	73.75	-3.75	
3	73.75	-3.75	
3	113.75	-1.25	
3	156.25	-3.75	
3	197.5	-5	
3	216.25	-7.5	
3	235	-8.75	
3	252.5	-11.25	
3	301.25	-15	
3	315	-16.25	
3	328.75	-18.75	
3	340	-22.5	
3	340	-22.5	
3	340	-22.5	
3	340	-22.5	
3	340	-22.5	
3	340	-22.5	
3	340	-22.5	
3	340	-22.5	
3	340	-22.5	
3	340	-22.5	
3	340	-22.5	
3	340	-22.5	
3	340	-22.5	
3	340	-22.5	
3	340	-22.5	
3	340	-22.5	
3	340	-22.5	
3	340	-22.5	
3	340	-22.5	
3	340	-22.5	
3	340	-22.5	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	2.5	
4	0	2.5	
4	0	2.5	
4	0	2.5	
4	0	2.5	
4	0	2.5	
4	0	2.5	
4	0	2.5	
4	0	2.5	
4	0	2.5	
4	0	2.5	
4	0	2.5	
4	0	2.5	
4	0	2.5	
4	0	2.5	
4	0	2.5	
4	0	2.5	
4	0	2.5	
4	0	2.5	
4	0	2.5	
4	7.5	3.75	
4	12.5	3.75	
4	18.75	3.75	
4	27.5	7.5	
4	47.5	10	
4	73.75	13.75	
4	87.5	15	
4	117.5	18.75	
4	136.25	18.75	
4	155	21.25	
4	211.25	22.5	
4	230	22.5	
4	247.5	22.5	
4	266.25	22.5	
4	300	18.75	
4	328.75	18.75	
4	328.75	18.75	
4	328.75	18.75	
4	328.75	18.75	
4	328.75	18.75	
4	328.75	18.75	
4	328.75	18.75	
4	328.75	18.75	
4	328.75	18.75	
4	328.75	18.75	
4	328.75	18.75	
4	328.75	18.75	
4	328.75	18.75	
4	328.75	18.75	
4	328.75	18.75	
4	328.75	18.75	
4	328.75	18.75	
4	328.75	18.75	
4	328.75	18.75	
4	328.75	18.75	
4	328.75	18.75	
4	328.75	18.75	
4	328.75	18.75	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	-1.25	-1.25	
5	-1.25	-1.25	
5	-1.25	-1.25	
5	-1.25	-1.25	
5	-1.25	-1.25	
5	-1.25	-1.25	
5	-1.25	-1.25	
5	-1.25	-1.25	
5	-1.25	-1.25	
5	-1.25	-1.25	
5	-1.25	-1.25	
5	-1.25	-1.25	
5	-1.25	-1.25	
5	-1.25	-1.25	
5	-1.25	-1.25	
5	-1.25	-1.25	
5	-1.25	-1.25	
5	-1.25	0	
5	-1.25	0	
5	0	0	
5	3.75	0	
5	6.25	0	
5	15	-1.25	
5	21.25	-3.75	
5	37.5	-3.75	
5	56.25	-7.5	
5	66.25	-8.75	
5	66.25	-8.75	
5	95	-15	
5	122.5	-18.75	
5	152.5	-23.75	
5	166.25	-26.25	
5	196.25	-30	
5	211.25	-31.25	
5	241.25	-33.75	
5	270	-33.75	
5	283.75	-35	
5	296.25	-35	
5	317.5	-35	
5	338.75	-37.5	
5	342.5	-37.5	
5	346.25	-37.5	
5	346.25	-37.5	
5	346.25	-37.5	
5	346.25	-37.5	
5	346.25	-37.5	
5	346.25	-37.5	
5	346.25	-37.5	
5	346.25	-37.5	
5	346.25	-37.5	
5	346.25	-37.5	
5	346.25	-37.5	
5	346.25	-37.5	
5	346.25	-37.5	
5	346.25	-37.5	
5	346.25	-37.5	
5	346.25	-37.5	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	3.75	0	
6	7.5	2.5	
6	13.75	3.75	
6	42.5	11.25	
6	66.25	15	
6	80	15	
6	95	17.5	
6	111.25	18.75	
6	160	25	
6	176.25	26.25	
6	193.75	28.75	
6	226.25	32.5	
6	241.25	33.75	
6	281.25	37.5	
6	292.5	40	
6	312.5	40	
6	320	40	
6	327.5	40	
6	341.25	40	
6	345	40	
6	345	40	
6	345	40	
6	345	40	
6	345	40	
6	345	40	
6	345	40	
6	345	40	
6	345	40	
6	345	40	
6	345	40	
6	345	40	
6	345	40	
6	345	40	
6	345	40	
6	345	40	
6	345	40	
6	345	40	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	1.25	0	
7	5	0	
7	12.5	0	
7	26.25	1.25	
7	43.75	1.25	
7	52.5	1.25	
7	75	3.75	
7	86.25	3.75	
7	98.75	1.25	
7	137.5	0	
7	151.25	0	
7	165	-2.5	
7	192.5	-3.75	
7	220	-6.25	
7	246.25	-6.25	
7	257.5	-6.25	
7	281.25	-7.5	
7	291.25	-7.5	
7	301.25	-10	
7	325	-10	
7	330	-10	
7	333.75	-10	
7	341.25	-10	
7	342.5	-10	
7	346.25	-10	
7	347.5	-10	
7	347.5	-10	
7	347.5	-10	
7	347.5	-10	
7	347.5	-10	
7	347.5	-10	
7	347.5	-10	
7	347.5	-11.25	
7	347.5	-11.25	
7	347.5	-11.25	
7	347.5	-11.25	
7	348.75	-11.25	
7	348.75	-11.25	
7	348.75	-11.25	
7	348.75	-11.25	
7	348.75	-11.25	
7	348.75	-11.25	
7	348.75	-11.25	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	1.25	0	
8	3.75	0	
8	6.25	0	
8	17.5	0	
8	25	0	
8	45	-2.5	
8	71.25	-2.5	
8	86.25	-3.75	
8	101.25	-6.25	
8	138.75	-10	
8	175	-13.75	
8	211.25	-17.5	
8	228.75	-21.25	
8	245	-21.25	
8	261.25	-25	
8	302.5	-26.25	
8	313.75	-26.25	
8	333.75	-28.75	
8	341.25	-28.75	
8	341.25	-28.75	
8	341.25	-28.75	
8	341.25	-28.75	
8	341.25	-28.75	
8	341.25	-28.75	
8	341.25	-28.75	
8	341.25	-28.75	
8	341.25	-28.75	
8	341.25	-28.75	
8	341.25	-28.75	
8	341.25	-28.75	
8	341.25	-28.75	
8	341.25	-28.75	
8	341.25	-28.75	
8	341.25	-28.75	
8	341.25	-28.75	
8	341.25	-28.75	
8	341.25	-28.75	
8	341.25	-28.75	
8	341.25	-28.75	
8	341.25	-28.75	
8	341.25	-28.75	
8	341.25	-28.75	
8	341.25	-28.75	
8	341.25	-28.75	
8	341.25	-28.75	
8	341.25	-28.75	
8	341.25	-28.75	
8	341.25	-28.75	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	-2.5	
9	0	-2.5	
9	0	-2.5	
9	0	-2.5	
9	0	-2.5	
9	0	-2.5	
9	0	-2.5	
9	0	-2.5	
9	0	-2.5	
9	0	-2.5	
9	0	-2.5	
9	0	-2.5	
9	0	-2.5	
9	0	-2.5	
9	0	-2.5	
9	0	-2.5	
9	0	-2.5	
9	0	-2.5	
9	0	-2.5	
9	0	-2.5	
9	0	-2.5	
9	0	-2.5	
9	0	-2.5	
9	0	-2.5	
9	0	-2.5	
9	0	-2.5	
9	0	-2.5	
9	0	-2.5	
9	0	-2.5	
9	0	-2.5	
9	0	-2.5	
9	7.5	-2.5	
9	10	-2.5	
9	18.75	-2.5	
9	23.75	-2.5	
9	30	-2.5	
9	47.5	-2.5	
9	53.75	-2.5	
9	70	-2.5	
9	78.75	-2.5	
9	88.75	1.25	
9	117.5	5	
9	126.25	5	
9	136.25	8.75	
9	143.75	8.75	
9	160	11.25	
9	168.75	12.5	
9	187.5	15	
9	193.75	16.25	
9	208.75	18.75	
9	213.75	20	
9	220	20	
9	230	22.5	
9	231.25	22.5	
9	232.5	22.5	
9	235	22.5	
9	235	22.5	
9	236.25	23.75	
9	236.25	23.75	
9	236.25	23.75	
9	236.25	23.75	
9	236.25	23.75	
9	236.25	23.75	
9	236.25	23.75	
9	236.25	23.75	
9	236.25	23.75	
9	236.25	23.75	
9	236.25	22.5	
