Trial	X	Y
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	-1.25	0	
1	-1.25	0	
1	-2.5	2.5	
1	-2.5	2.5	
1	-2.5	2.5	
1	-2.5	2.5	
1	-2.5	2.5	
1	-2.5	2.5	
1	-2.5	2.5	
1	-2.5	2.5	
1	-2.5	2.5	
1	-2.5	2.5	
1	-2.5	2.5	
1	-2.5	2.5	
1	-2.5	2.5	
1	-2.5	2.5	
1	-2.5	2.5	
1	-2.5	2.5	
1	-2.5	2.5	
1	-2.5	2.5	
1	-2.5	2.5	
1	-2.5	2.5	
1	-2.5	2.5	
1	-2.5	2.5	
1	-2.5	2.5	
1	-2.5	3.75	
1	-2.5	3.75	
1	-2.5	3.75	
1	-2.5	3.75	
1	-2.5	3.75	
1	45	26.25	
1	52.5	30	
1	67.5	38.75	
1	75	42.5	
1	82.5	46.25	
1	98.75	50	
1	116.25	50	
1	126.25	46.25	
1	133.75	46.25	
1	141.25	42.5	
1	166.25	30	
1	173.75	26.25	
1	188.75	22.5	
1	196.25	21.25	
1	202.5	18.75	
1	218.75	18.75	
1	230	18.75	
1	235	18.75	
1	241.25	18.75	
1	247.5	18.75	
1	266.25	17.5	
1	272.5	15	
1	287.5	15	
1	295	15	
1	310	15	
1	321.25	17.5	
1	330	18.75	
1	335	18.75	
1	338.75	18.75	
1	342.5	18.75	
1	342.5	18.75	
1	342.5	18.75	
1	342.5	18.75	
1	342.5	18.75	
1	342.5	18.75	
1	342.5	18.75	
1	342.5	18.75	
1	342.5	18.75	
1	342.5	18.75	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	1.25	0	
2	3.75	0	
2	6.25	0	
2	17.5	0	
2	33.75	2.5	
2	46.25	3.75	
2	57.5	6.25	
2	83.75	7.5	
2	108.75	11.25	
2	133.75	11.25	
2	146.25	11.25	
2	168.75	11.25	
2	180	7.5	
2	191.25	6.25	
2	220	-3.75	
2	228.75	-7.5	
2	236.25	-12.5	
2	251.25	-20	
2	257.5	-21.25	
2	271.25	-27.5	
2	275	-27.5	
2	277.5	-28.75	
2	280	-31.25	
2	280	-31.25	
2	281.25	-35	
2	282.5	-35	
2	282.5	-35	
2	282.5	-36.25	
2	282.5	-38.75	
2	282.5	-38.75	
2	282.5	-38.75	
2	282.5	-38.75	
2	282.5	-38.75	
2	282.5	-38.75	
2	282.5	-38.75	
2	282.5	-38.75	
2	282.5	-38.75	
2	282.5	-38.75	
2	282.5	-38.75	
2	282.5	-38.75	
2	282.5	-36.25	
2	282.5	-35	
2	282.5	-31.25	
2	282.5	-27.5	
2	282.5	-20	
2	282.5	-17.5	
2	282.5	-16.25	
2	282.5	-16.25	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	-28.75	-22.5	
3	-28.75	-22.5	
3	-23.75	-20	
3	-22.5	-20	
3	-20	-20	
3	-7.5	-18.75	
3	5	-15	
3	11.25	-15	
3	20	-15	
3	27.5	-15	
3	43.75	-12.5	
3	55	-12.5	
3	66.25	-12.5	
3	90	-11.25	
3	102.5	-11.25	
3	125	-12.5	
3	148.75	-15	
3	173.75	-16.25	
3	187.5	-18.75	
3	200	-18.75	
3	236.25	-18.75	
3	246.25	-18.75	
3	252.5	-18.75	
3	262.5	-18.75	
3	265	-18.75	
3	268.75	-18.75	
3	270	-18.75	
3	272.5	-18.75	
3	272.5	-18.75	
3	272.5	-18.75	
3	272.5	-18.75	
3	272.5	-18.75	
3	272.5	-18.75	
3	272.5	-18.75	
3	272.5	-18.75	
3	272.5	-18.75	
3	272.5	-18.75	
3	272.5	-18.75	
3	272.5	-18.75	
3	272.5	-18.75	
3	272.5	-18.75	
3	272.5	-18.75	
3	272.5	-18.75	
3	272.5	-18.75	
3	272.5	-18.75	
3	272.5	-18.75	
3	272.5	-18.75	
3	272.5	-18.75	
3	272.5	-18.75	
3	272.5	-18.75	
3	272.5	-18.75	
3	272.5	-18.75	
3	272.5	-18.75	
3	272.5	-18.75	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	1.25	-1.25	
6	1.25	-1.25	
6	1.25	-1.25	
6	1.25	-1.25	
6	1.25	-1.25	
6	1.25	-1.25	
6	1.25	-1.25	
6	1.25	-1.25	
6	1.25	-1.25	
6	2.5	-1.25	
6	12.5	-3.75	
6	12.5	-3.75	
6	26.25	-3.75	
6	41.25	-3.75	
6	51.25	-5	
6	71.25	-7.5	
6	95	-5	
6	106.25	-3.75	
6	118.75	-1.25	
6	145	3.75	
6	170	7.5	
6	183.75	10	
6	215	17.5	
6	230	18.75	
6	243.75	22.5	
6	270	30	
6	282.5	33.75	
6	295	40	
6	316.25	47.5	
6	326.25	51.25	
6	345	58.75	
6	345	58.75	
6	345	58.75	
6	345	58.75	
6	345	58.75	
6	345	58.75	
6	345	58.75	
6	345	58.75	
6	345	58.75	
6	345	58.75	
6	345	58.75	
6	345	58.75	
6	345	58.75	
6	345	58.75	
6	345	58.75	
6	345	58.75	
6	345	58.75	
6	345	58.75	
6	345	58.75	
6	345	58.75	
6	345	58.75	
6	345	58.75	
6	345	58.75	
6	345	58.75	
6	345	58.75	
6	345	58.75	
6	345	58.75	
6	345	58.75	
6	345	58.75	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	1.25	2.5	
7	2.5	3.75	
7	5	3.75	
7	7.5	6.25	
7	35	10	
7	43.75	10	
7	52.5	7.5	
7	62.5	7.5	
7	78.75	3.75	
7	93.75	0	
7	101.25	-3.75	
7	113.75	-7.5	
7	121.25	-11.25	
7	128.75	-12.5	
7	148.75	-18.75	
7	160	-22.5	
7	166.25	-23.75	
7	173.75	-26.25	
7	186.25	-30	
7	193.75	-30	
7	197.5	-31.25	
7	200	-31.25	
7	202.5	-31.25	
7	202.5	-33.75	
7	203.75	-33.75	
7	203.75	-33.75	
7	203.75	-33.75	
7	203.75	-33.75	
7	203.75	-33.75	
7	203.75	-33.75	
7	203.75	-33.75	
7	203.75	-33.75	
7	203.75	-33.75	
7	203.75	-33.75	
7	203.75	-33.75	
7	203.75	-33.75	
7	203.75	-33.75	
7	203.75	-33.75	
7	203.75	-33.75	
7	203.75	-33.75	
7	203.75	-33.75	
7	203.75	-33.75	
7	203.75	-33.75	
7	203.75	-33.75	
7	203.75	-31.25	
7	203.75	-31.25	
7	203.75	-31.25	
7	203.75	-30	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	-2.5	-6.25	
8	-2.5	-6.25	
8	-2.5	-6.25	
8	-2.5	-6.25	
8	-2.5	-6.25	
8	-2.5	-6.25	
8	-2.5	-6.25	
8	-2.5	-6.25	
8	-2.5	-6.25	
8	-2.5	-6.25	
8	-2.5	-6.25	
8	-2.5	-6.25	
8	-2.5	-6.25	
8	0	-5	
8	10	-3.75	
8	17.5	-1.25	
8	38.75	2.5	
8	67.5	7.5	
8	83.75	11.25	
8	120	13.75	
8	140	13.75	
8	158.75	11.25	
8	176.25	10	
8	212.5	6.25	
8	242.5	2.5	
8	268.75	-1.25	
8	280	-3.75	
8	298.75	-7.5	
8	305	-7.5	
8	316.25	-11.25	
8	317.5	-11.25	
8	318.75	-11.25	
8	320	-11.25	
8	321.25	-12.5	
8	321.25	-12.5	
8	321.25	-12.5	
8	321.25	-12.5	
8	321.25	-12.5	
8	321.25	-12.5	
8	321.25	-12.5	
8	321.25	-12.5	
8	321.25	-12.5	
8	321.25	-12.5	
8	321.25	-12.5	
8	321.25	-12.5	
8	321.25	-12.5	
8	321.25	-12.5	
8	321.25	-12.5	
8	321.25	-12.5	
8	321.25	-12.5	
8	321.25	-12.5	
8	321.25	-12.5	
8	321.25	-12.5	
8	321.25	-12.5	
8	321.25	-12.5	
8	321.25	-12.5	
8	322.5	-11.25	
8	322.5	-5	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	2.5	2.5	
9	7.5	6.25	
9	12.5	7.5	
9	17.5	11.25	
9	33.75	15	
9	52.5	15	
9	73.75	15	
9	85	11.25	
9	112.5	7.5	
9	126.25	3.75	
9	160	-1.25	
9	198.75	-3.75	
9	218.75	-5	
9	238.75	-5	
9	258.75	-7.5	
9	310	-7.5	
9	335	-11.25	
9	346.25	-12.5	
9	346.25	-12.5	
9	346.25	-12.5	
9	346.25	-12.5	
9	346.25	-12.5	
9	346.25	-12.5	
9	346.25	-12.5	
9	346.25	-12.5	
9	346.25	-12.5	
9	346.25	-12.5	
9	346.25	-12.5	
9	346.25	-12.5	
9	346.25	-12.5	
9	346.25	-12.5	
9	346.25	-12.5	
9	346.25	-12.5	
9	346.25	-12.5	
9	346.25	-12.5	
9	346.25	-12.5	
9	346.25	-12.5	
9	346.25	-12.5	
9	346.25	-12.5	
9	346.25	-12.5	
9	346.25	-12.5	
9	346.25	-12.5	
9	346.25	-12.5	
9	346.25	-12.5	
10	0	0	
10	0	0	
10	0	1.25	
