Trial	X	Y
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	10	11.25	
1	12.5	11.25	
1	17.5	15	
1	28.75	18.75	
1	42.5	25	
1	50	26.25	
1	67.5	33.75	
1	75	37.5	
1	93.75	41.25	
1	111.25	45	
1	126.25	48.75	
1	133.75	51.25	
1	140	51.25	
1	146.25	52.5	
1	161.25	51.25	
1	165	51.25	
1	173.75	48.75	
1	176.25	47.5	
1	180	47.5	
1	192.5	45	
1	200	45	
1	205	45	
1	210	45	
1	215	45	
1	232.5	45	
1	238.75	45	
1	250	45	
1	255	45	
1	260	45	
1	273.75	43.75	
1	286.25	41.25	
1	291.25	41.25	
1	296.25	40	
1	298.75	37.5	
1	308.75	32.5	
1	310	30	
1	312.5	26.25	
1	315	22.5	
1	316.25	22.5	
1	320	17.5	
1	326.25	15	
1	330	15	
1	332.5	13.75	
1	336.25	13.75	
1	347.5	15	
1	347.5	15	
1	347.5	15	
1	347.5	15	
1	347.5	15	
1	347.5	15	
1	347.5	15	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	2.5	0	
2	5	-2.5	
2	7.5	-2.5	
2	22.5	0	
2	38.75	1.25	
2	50	3.75	
2	62.5	5	
2	91.25	7.5	
2	123.75	8.75	
2	140	8.75	
2	175	8.75	
2	191.25	8.75	
2	207.5	8.75	
2	241.25	8.75	
2	267.5	11.25	
2	276.25	11.25	
2	285	12.5	
2	290	12.5	
2	301.25	12.5	
2	303.75	12.5	
2	307.5	12.5	
2	310	15	
2	313.75	16.25	
2	326.25	16.25	
2	340	16.25	
2	347.5	16.25	
2	347.5	16.25	
2	347.5	16.25	
2	347.5	16.25	
2	347.5	16.25	
2	347.5	16.25	
2	347.5	16.25	
2	347.5	16.25	
2	347.5	16.25	
2	347.5	16.25	
2	347.5	16.25	
2	347.5	16.25	
2	347.5	16.25	
2	347.5	16.25	
2	347.5	16.25	
2	347.5	16.25	
2	347.5	16.25	
2	347.5	16.25	
2	347.5	16.25	
2	347.5	16.25	
2	347.5	16.25	
2	347.5	16.25	
2	347.5	16.25	
2	347.5	16.25	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	1.25	1.25	
3	3.75	1.25	
3	30	7.5	
3	42.5	8.75	
3	57.5	12.5	
3	93.75	16.25	
3	115	20	
3	186.25	27.5	
3	210	30	
3	231.25	31.25	
3	268.75	33.75	
3	268.75	33.75	
3	298.75	35	
3	316.25	35	
3	321.25	35	
3	328.75	35	
3	331.25	35	
3	333.75	35	
3	333.75	35	
3	333.75	35	
3	333.75	35	
3	333.75	35	
3	335	35	
3	337.5	31.25	
3	338.75	27.5	
3	340	26.25	
3	342.5	22.5	
3	343.75	20	
3	343.75	20	
3	343.75	20	
3	343.75	20	
3	343.75	20	
3	343.75	20	
3	343.75	20	
3	343.75	20	
3	343.75	20	
3	343.75	20	
3	343.75	20	
3	343.75	20	
3	343.75	20	
3	343.75	20	
3	343.75	20	
3	343.75	20	
3	343.75	20	
3	343.75	20	
3	343.75	20	
3	343.75	20	
3	343.75	20	
3	343.75	20	
3	343.75	20	
3	343.75	20	
3	343.75	20	
3	343.75	20	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	2.5	0	
4	5	0	
4	7.5	0	
4	11.25	-1.25	
4	20	-3.75	
4	32.5	-3.75	
4	41.25	-3.75	
4	61.25	-3.75	
4	73.75	-3.75	
4	87.5	-5	
4	132.5	-7.5	
4	162.5	-7.5	
4	178.75	-7.5	
4	195	-7.5	
4	212.5	-7.5	
4	247.5	-7.5	
4	247.5	-7.5	
4	280	-5	
4	295	-3.75	
4	306.25	-3.75	
4	323.75	0	
4	333.75	0	
4	338.75	0	
4	341.25	0	
4	342.5	0	
4	345	2.5	
4	345	2.5	
4	345	2.5	
4	345	2.5	
4	345	2.5	
4	345	2.5	
4	345	2.5	
4	345	2.5	
4	345	2.5	
4	346.25	2.5	
4	347.5	3.75	
4	348.75	3.75	
4	348.75	3.75	
4	348.75	3.75	
4	348.75	3.75	
4	348.75	3.75	
4	348.75	3.75	
4	348.75	3.75	
4	348.75	3.75	
4	348.75	3.75	
4	348.75	3.75	
4	348.75	3.75	
4	348.75	3.75	
4	348.75	3.75	
4	348.75	3.75	
4	348.75	3.75	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	0	0	
5	1.25	0	
5	15	0	
5	23.75	0	
5	33.75	0	
5	60	0	
5	81.25	0	
5	121.25	2.5	
5	141.25	3.75	
5	177.5	6.25	
5	195	6.25	
5	195	6.25	
5	242.5	7.5	
5	253.75	7.5	
5	263.75	7.5	
5	280	11.25	
5	292.5	11.25	
5	301.25	13.75	
5	303.75	15	
5	310	15	
5	311.25	15	
5	313.75	15	
5	321.25	13.75	
5	323.75	11.25	
5	327.5	11.25	
5	332.5	10	
5	337.5	10	
5	340	10	
5	342.5	10	
5	343.75	11.25	
5	343.75	11.25	
5	343.75	11.25	
5	343.75	11.25	
5	343.75	11.25	
5	343.75	11.25	
5	343.75	11.25	
5	343.75	11.25	
5	343.75	11.25	
5	343.75	11.25	
5	343.75	11.25	
5	343.75	11.25	
5	343.75	11.25	
5	343.75	11.25	
5	343.75	11.25	
5	343.75	11.25	
5	343.75	11.25	
5	343.75	11.25	
5	343.75	11.25	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	2.5	0	
6	5	0	
6	7.5	2.5	
6	11.25	2.5	
6	22.5	3.75	
6	51.25	7.5	
6	65	11.25	
6	77.5	11.25	
6	107.5	15	
6	107.5	15	
6	162.5	18.75	
6	178.75	18.75	
6	193.75	21.25	
6	218.75	22.5	
6	228.75	22.5	
6	246.25	22.5	
6	257.5	22.5	
6	263.75	22.5	
6	266.25	22.5	
6	268.75	22.5	
6	277.5	21.25	
6	277.5	21.25	
6	285	21.25	
6	288.75	21.25	
6	292.5	18.75	
6	302.5	18.75	
6	307.5	17.5	
6	308.75	17.5	
6	311.25	17.5	
6	312.5	17.5	
6	317.5	15	
6	318.75	15	
6	320	15	
6	322.5	15	
6	322.5	15	
6	325	15	
6	326.25	15	
6	328.75	15	
6	328.75	15	
6	330	15	
6	330	15	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	6.25	0	
7	11.25	0	
7	38.75	0	
7	51.25	0	
7	65	0	
7	80	0	
7	113.75	0	
7	151.25	0	
7	170	0	
7	207.5	0	
7	243.75	0	
7	260	0	
7	297.5	0	
7	306.25	0	
7	313.75	0	
7	320	0	
7	327.5	0	
7	332.5	0	
7	333.75	0	
7	335	0	
7	335	2.5	
7	335	2.5	
7	335	3.75	
7	335	3.75	
7	335	3.75	
7	335	3.75	
7	336.25	3.75	
7	336.25	3.75	
7	336.25	3.75	
7	336.25	3.75	
7	336.25	3.75	
7	336.25	3.75	
7	336.25	3.75	
7	336.25	3.75	
7	336.25	3.75	
7	336.25	3.75	
7	336.25	3.75	
7	336.25	3.75	
7	336.25	3.75	
7	336.25	3.75	
7	336.25	3.75	
7	337.5	3.75	
7	337.5	3.75	
7	337.5	3.75	
7	337.5	3.75	
7	337.5	3.75	
7	337.5	3.75	
7	337.5	3.75	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	1.25	0	
8	8.75	0	
8	12.5	0	
8	28.75	2.5	
8	38.75	2.5	
8	50	3.75	
8	95	7.5	
8	130	11.25	
8	148.75	11.25	
8	167.5	13.75	
8	185	13.75	
8	236.25	15	
8	251.25	15	
8	265	17.5	
8	290	18.75	
8	301.25	18.75	
8	326.25	25	
8	338.75	26.25	
8	342.5	26.25	
8	346.25	28.75	
8	346.25	28.75	
8	346.25	28.75	
8	346.25	28.75	
8	346.25	28.75	
8	346.25	28.75	
8	346.25	28.75	
8	346.25	28.75	
8	346.25	28.75	
8	346.25	28.75	
8	346.25	28.75	
8	346.25	28.75	
8	346.25	28.75	
8	346.25	28.75	
8	346.25	28.75	
8	346.25	28.75	
8	346.25	28.75	
8	346.25	28.75	
8	346.25	28.75	
8	346.25	28.75	
8	346.25	28.75	
8	346.25	28.75	
8	346.25	28.75	
8	346.25	28.75	
8	346.25	28.75	
8	346.25	28.75	
8	346.25	28.75	
8	346.25	28.75	
9	0	0	
9	2.5	2.5	
9	3.75	3.75	
9	10	6.25	
9	11.25	7.5	
9	13.75	7.5	
9	15	7.5	
9	15	7.5	
9	17.5	10	
9	17.5	10	
9	17.5	10	
9	17.5	10	
9	17.5	10	
9	17.5	10	
9	17.5	10	
9	17.5	10	
9	17.5	10	
9	17.5	10	
9	17.5	10	
9	17.5	10	
9	17.5	10	
9	17.5	10	
9	17.5	10	
9	17.5	10	
9	18.75	10	
9	18.75	7.5	
9	22.5	7.5	
9	25	7.5	
9	41.25	7.5	
9	47.5	6.25	
9	56.25	6.25	
9	76.25	3.75	
9	88.75	3.75	
9	130	2.5	
9	130	2.5	
9	148.75	3.75	
9	185	3.75	
9	202.5	3.75	
9	232.5	6.25	
9	261.25	7.5	
9	275	7.5	
9	297.5	7.5	
9	306.25	7.5	
9	328.75	7.5	
9	333.75	6.25	
9	338.75	6.25	
9	345	3.75	
9	348.75	3.75	
9	348.75	3.75	
9	348.75	3.75	
9	348.75	3.75	
9	348.75	3.75	
9	348.75	3.75	
9	348.75	3.75	
9	348.75	3.75	
9	348.75	3.75	
9	348.75	3.75	
9	348.75	3.75	
9	348.75	3.75	
9	348.75	3.75	
9	348.75	3.75	
9	348.75	3.75	
9	348.75	3.75	
9	348.75	3.75	
9	348.75	3.75	
9	348.75	3.75	
9	348.75	3.75	
9	348.75	3.75	
9	348.75	3.75	
9	348.75	3.75	
9	348.75	3.75	
9	348.75	3.75	
9	348.75	3.75	
9	348.75	3.75	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
10	0	0	
