Trial	ObjID	LocID	FB	Task	RT	Stim
1	42	1	1	-1	625	4010	
2	47	3	1	-1	1028	10015	
3	48	4	1	-1	612	16024	
4	96	2	1	-1	728	22033	
5	12	2	1	-1	512	28042	
6	71	4	1	-1	462	34051	
7	22	1	1	-1	662	40059	
8	49	3	1	-1	446	46068	
9	45	1	1	-2	862	52077	
10	80	4	1	-2	495	58086	
11	81	2	1	-2	795	64095	
12	39	3	1	-2	1500	70104	
13	33	1	1	-2	396	76112	
14	82	2	1	-2	496	82121	
15	94	3	1	-2	496	88130	
16	4	4	1	-2	412	94139	
17	85	2	1	-1	562	100148	
18	19	1	1	-1	412	106157	
19	16	3	1	-1	195	112166	
20	67	4	1	-1	496	118174	
21	93	2	1	-1	396	124183	
22	75	1	1	-1	546	130192	
23	46	4	1	-1	495	136201	
24	41	3	1	-1	895	142210	
25	40	4	1	-2	495	148218	
26	89	2	1	-2	396	154227	
27	63	3	1	-2	363	160236	
28	77	1	1	-2	412	166245	
29	50	4	1	-2	412	172254	
30	61	3	1	-2	395	178263	
31	91	1	1	-2	395	184272	
32	9	2	1	-2	362	190280	
33	34	2	0	-1	396	196289	
34	76	4	0	-1	529	202298	
35	20	3	0	-1	496	208307	
36	36	1	0	-1	629	214316	
37	25	4	0	-1	495	220325	
38	65	2	0	-1	512	226334	
39	64	1	0	-1	729	232342	
40	31	3	0	-1	496	238351	
41	83	1	1	-2	795	244360	
42	69	4	1	-2	495	250369	
43	66	3	1	-2	495	256378	
44	37	2	1	-2	462	262387	
