Trial	X	Y
Trial	X	Y
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
1	0	0	
2	0	0	
2	0	0	
2	0	0	
2	0	0	
2	21.25	-51.25	
2	21.25	-51.25	
2	21.25	-51.25	
2	21.25	-51.25	
2	21.25	-51.25	
2	21.25	-51.25	
2	21.25	-51.25	
2	142.5	-81.25	
2	148.75	-77.5	
2	158.75	-67.5	
2	162.5	-66.25	
2	162.5	-66.25	
2	162.5	-66.25	
2	158.75	-62.5	
2	158.75	-63.75	
2	153.75	-66.25	
2	147.5	-66.25	
2	142.5	-66.25	
2	135	-66.25	
2	115	-70	
2	108.75	-70	
2	102.5	-70	
2	102.5	-70	
2	107.5	-70	
2	127.5	-70	
2	147.5	-66.25	
2	157.5	-62.5	
2	166.25	-58.75	
2	173.75	-58.75	
2	181.25	-51.25	
2	180	-52.5	
2	175	-55	
2	162.5	-55	
2	156.25	-56.25	
2	135	-60	
2	126.25	-62.5	
2	120	-63.75	
2	108.75	-67.5	
2	105	-70	
2	105	-70	
2	105	-70	
2	105	-70	
2	105	-70	
2	105	-70	
2	105	-70	
2	105	-70	
2	105	-70	
2	83.75	-77.5	
2	88.75	-66.25	
2	106.25	-32.5	
2	111.25	-21.25	
2	111.25	-21.25	
2	111.25	-21.25	
2	111.25	-21.25	
2	111.25	-21.25	
2	111.25	-21.25	
2	111.25	-21.25	
2	111.25	-21.25	
2	111.25	-21.25	
2	111.25	-21.25	
2	111.25	-21.25	
2	111.25	-21.25	
2	111.25	-21.25	
2	111.25	-21.25	
2	127.5	46.25	
2	127.5	46.25	
2	127.5	46.25	
2	127.5	46.25	
2	118.75	38.75	
2	120	31.25	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	0	
3	0	-1.25	
3	10	6.25	
3	13.75	6.25	
3	15	6.25	
3	20	6.25	
3	21.25	6.25	
3	26.25	5	
3	31.25	2.5	
3	33.75	2.5	
3	36.25	2.5	
3	40	1.25	
3	40	1.25	
3	40	1.25	
3	40	1.25	
3	40	1.25	
3	40	1.25	
3	70	-6.25	
3	73.75	-6.25	
3	76.25	-8.75	
3	78.75	-8.75	
3	83.75	-8.75	
3	91.25	-8.75	
3	93.75	-8.75	
3	96.25	-8.75	
3	103.75	-10	
3	106.25	-10	
3	112.5	-10	
3	120	-10	
3	123.75	-10	
3	127.5	-10	
3	135	-10	
3	146.25	-10	
3	150	-10	
3	152.5	-12.5	
3	161.25	-12.5	
3	165	-12.5	
3	172.5	-12.5	
3	180	-12.5	
3	185	-12.5	
3	188.75	-12.5	
3	191.25	-13.75	
3	202.5	-13.75	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	0	
4	0	2.5	
4	5	2.5	
4	8.75	3.75	
4	17.5	3.75	
4	30	3.75	
4	36.25	3.75	
4	58.75	3.75	
4	66.25	3.75	
4	75	3.75	
4	83.75	3.75	
4	101.25	0	
4	118.75	-1.25	
4	127.5	-3.75	
4	142.5	-7.5	
4	158.75	-12.5	
4	166.25	-15	
4	180	-18.75	
4	188.75	-20	
4	196.25	-22.5	
4	211.25	-23.75	
4	218.75	-26.25	
4	233.75	-30	
4	247.5	-31.25	
4	256.25	-33.75	
4	270	-33.75	
4	276.25	-35	
4	295	-37.5	
4	300	-35	
4	306.25	-35	
4	311.25	-33.75	
4	321.25	-33.75	
4	331.25	-30	
4	340	-26.25	
4	345	-26.25	
4	345	-26.25	
4	345	-26.25	
4	345	-26.25	
4	345	-26.25	
4	345	-26.25	
4	345	-26.25	
4	345	-26.25	
4	345	-26.25	
4	345	-26.25	
4	345	-26.25	
4	345	-26.25	
4	345	-26.25	
4	345	-26.25	
4	345	-26.25	
4	345	-26.25	
4	345	-26.25	
4	345	-26.25	
4	345	-26.25	
4	345	-26.25	
4	345	-26.25	
4	345	-26.25	
4	345	-26.25	
4	345	-26.25	
5	0	0	
5	0	0	
5	0	-1.25	
5	2.5	-3.75	
5	3.75	-5	
5	3.75	-7.5	
5	3.75	-7.5	
5	3.75	-7.5	
5	0	-1.25	
5	-3.75	0	
5	-5	0	
5	-5	0	
5	-11.25	2.5	
5	-11.25	2.5	
5	-11.25	2.5	
5	-11.25	2.5	
5	-11.25	2.5	
5	-11.25	2.5	
5	-11.25	2.5	
5	-11.25	2.5	
5	-11.25	2.5	
5	-11.25	2.5	
5	-11.25	2.5	
5	-11.25	2.5	
5	-11.25	2.5	
5	-11.25	2.5	
5	-11.25	2.5	
5	-11.25	2.5	
5	-48.75	18.75	
5	-47.5	18.75	
5	-47.5	18.75	
5	-46.25	17.5	
5	-46.25	17.5	
5	-42.5	18.75	
5	-38.75	18.75	
5	-35	18.75	
5	-21.25	22.5	
5	-12.5	22.5	
5	18.75	26.25	
5	30	25	
5	56.25	22.5	
5	68.75	22.5	
5	83.75	21.25	
5	123.75	15	
5	136.25	11.25	
5	147.5	10	
5	170	3.75	
5	180	2.5	
5	203.75	-3.75	
5	210	-5	
5	217.5	-7.5	
5	220	-7.5	
5	222.5	-7.5	
5	227.5	-11.25	
5	228.75	-11.25	
5	231.25	-11.25	
5	240	-11.25	
5	245	-8.75	
5	265	-5	
5	271.25	-3.75	
5	282.5	-1.25	
5	290	0	
5	295	0	
5	312.5	7.5	
5	317.5	7.5	
5	323.75	11.25	
5	332.5	13.75	
5	336.25	15	
5	343.75	15	
5	346.25	15	
5	347.5	15	
5	348.75	15	
5	348.75	15	
5	348.75	15	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	0	0	
6	1.25	1.25	
6	1.25	1.25	
6	11.25	5	
6	17.5	5	
6	28.75	5	
6	43.75	1.25	
6	52.5	1.25	
6	71.25	-2.5	
6	91.25	-6.25	
6	100	-7.5	
6	111.25	-10	
6	121.25	-13.75	
6	153.75	-21.25	
6	165	-22.5	
6	187.5	-26.25	
6	198.75	-28.75	
6	221.25	-32.5	
6	242.5	-32.5	
6	262.5	-32.5	
6	272.5	-32.5	
6	281.25	-32.5	
6	290	-32.5	
6	315	-28.75	
6	321.25	-28.75	
6	327.5	-26.25	
6	336.25	-25	
6	338.75	-25	
6	345	-22.5	
6	346.25	-22.5	
6	346.25	-22.5	
6	347.5	-22.5	
6	347.5	-22.5	
6	348.75	-21.25	
6	348.75	-21.25	
6	348.75	-21.25	
6	348.75	-21.25	
6	348.75	-21.25	
6	348.75	-21.25	
6	348.75	-21.25	
6	348.75	-21.25	
6	348.75	-21.25	
6	348.75	-21.25	
6	348.75	-21.25	
6	348.75	-21.25	
6	348.75	-21.25	
6	348.75	-21.25	
6	348.75	-21.25	
6	348.75	-21.25	
6	348.75	-21.25	
6	348.75	-21.25	
6	348.75	-21.25	
6	348.75	-21.25	
6	348.75	-21.25	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	0	
7	0	1.25	
7	0	1.25	
7	0	1.25	
7	-1.25	1.25	
7	-1.25	1.25	
7	-1.25	1.25	
7	-1.25	1.25	
7	-1.25	1.25	
7	-1.25	1.25	
7	-1.25	1.25	
7	-1.25	1.25	
7	-1.25	1.25	
7	-1.25	1.25	
7	0	3.75	
7	1.25	3.75	
7	1.25	3.75	
7	1.25	3.75	
7	1.25	3.75	
7	1.25	3.75	
7	1.25	3.75	
7	1.25	3.75	
7	1.25	3.75	
7	1.25	3.75	
7	2.5	5	
7	2.5	5	
7	2.5	5	
7	2.5	5	
7	2.5	5	
7	2.5	5	
7	2.5	5	
7	2.5	5	
7	2.5	5	
7	2.5	5	
7	2.5	5	
7	3.75	5	
7	5	5	
7	5	5	
7	5	5	
7	5	5	
7	5	5	
7	5	5	
7	5	5	
7	5	5	
7	5	5	
7	5	5	
7	11.25	5	
7	16.25	5	
7	21.25	5	
7	36.25	5	
7	46.25	5	
7	77.5	5	
7	88.75	5	
7	101.25	5	
7	112.5	5	
7	135	1.25	
7	167.5	-2.5	
7	178.75	-6.25	
7	188.75	-6.25	
7	208.75	-10	
7	220	-10	
7	250	-10	
7	260	-10	
7	270	-10	
7	280	-10	
7	300	-7.5	
7	328.75	-6.25	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	0	0	
8	1.25	0	
8	6.25	0	
8	11.25	0	
8	23.75	0	
8	42.5	0	
8	52.5	3.75	
8	65	5	
8	92.5	5	
8	112.5	5	
8	131.25	3.75	
8	168.75	-1.25	
8	205	-5	
8	222.5	-7.5	
8	256.25	-12.5	
8	287.5	-18.75	
8	302.5	-18.75	
8	316.25	-22.5	
8	328.75	-22.5	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
8	348.75	-26.25	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	0	0	
9	1.25	2.5	
9	3.75	2.5	
9	12.5	3.75	
9	18.75	3.75	
9	27.5	3.75	
9	65	3.75	
9	98.75	3.75	
9	116.25	3.75	
9	136.25	6.25	
9	156.25	6.25	
9	217.5	6.25	
9	236.25	6.25	
9	270	3.75	
9	283.75	0	
9	298.75	0	
9	331.25	-3.75	
9	348.75	-3.75	
9	348.75	-3.75	
9	348.75	-3.75	
9	348.75	-3.75	
9	348.75	-3.75	
9	348.75	-3.75	
9	348.75	-3.75	
9	348.75	-3.75	
9	348.75	-3.75	
9	348.75	-3.75	
9	348.75	-3.75	
9	348.75	-3.75	
9	348.75	-3.75	
9	348.75	-3.75	
9	348.75	-3.75	
9	348.75	-3.75	
9	348.75	-3.75	
9	348.75	-3.75	
9	348.75	-3.75	
