Trial	ObjID	LocID	FB	Task	RT	Stim
Trial	ObjID	LocID	FB	Task	RT	Stim
1	5	2	1	-1	1500	4021	
2	12	3	1	-1	113	10025	
3	29	1	1	-1	862	16034	
4	21	4	1	-1	496	22044	
5	90	1	1	-1	596	28054	
6	16	3	1	-1	546	34064	
7	51	4	1	-1	1162	40074	
8	91	2	1	-1	512	46084	
9	73	2	1	-2	596	52094	
10	40	4	1	-2	595	58104	
11	87	1	1	-2	495	64114	
12	95	3	1	-2	446	70123	
13	18	2	1	-2	463	76133	
14	31	4	1	-2	713	82143	
15	84	3	1	-2	446	88153	
16	7	1	1	-2	662	94163	
17	77	1	1	-1	646	100173	
18	88	4	1	-1	712	106183	
19	10	2	1	-1	563	112192	
20	33	3	1	-1	763	118202	
21	30	2	1	-1	796	124212	
22	1	3	1	-1	596	130222	
23	2	1	1	-1	346	136232	
24	66	4	1	-1	795	142242	
25	86	1	1	-2	912	148252	
26	26	3	1	-2	828	154262	
27	50	2	1	-2	1129	160271	
28	3	4	1	-2	546	166281	
29	70	4	1	-2	1500	172291	
30	43	3	1	-2	596	178301	
31	24	2	1	-2	596	184311	
32	61	1	1	-2	762	190321	
33	74	4	0	-1	1062	196331	
34	78	2	0	-1	596	202340	
35	85	3	0	-1	413	208350	
36	46	1	0	-1	596	214360	
37	4	1	0	-1	1212	220370	
38	19	2	0	-1	1195	226380	
39	9	4	0	-1	1295	232390	
40	38	3	0	-1	945	238400	
41	41	2	1	-2	1162	244410	
42	94	1	1	-2	645	250419	
43	47	3	1	-2	696	256429	
44	58	4	1	-2	996	262439	
45	62	2	1	-2	546	268449	
46	75	1	1	-2	496	274459	
47	63	4	1	-2	396	280469	
48	6	3	1	-2	596	286479	
49	35	3	0	-1	795	292489	
50	25	2	0	-1	563	298498	
51	14	4	0	-1	446	304508	
52	32	1	0	-1	1212	310518	
53	57	1	0	-1	912	316528	
54	65	3	0	-1	712	322538	
55	81	2	0	-1	562	328548	
56	37	4	0	-1	1500	334558	
57	67	3	1	-2	496	340568	
58	15	2	1	-2	696	346577	
59	89	4	1	-2	796	352587	
60	59	1	1	-2	1500	358597	
