Trial	ObjID	LocID	FB	Task	RT	Stim
1	61	4	1	-1	652	4013	
2	32	3	1	-1	851	10019	
3	90	1	1	-1	534	16008	
4	18	2	1	-1	517	22013	
5	96	1	1	-1	468	28002	
6	92	2	1	-1	484	34008	
7	9	3	1	-1	451	39996	
8	86	4	1	-1	450	46001	
9	14	3	1	-2	468	51990	
10	74	1	1	-2	517	57996	
11	72	2	1	-2	468	63984	
12	93	4	1	-2	485	69989	
13	45	3	1	-2	434	75978	
14	63	1	1	-2	435	81983	
15	95	4	1	-2	434	87972	
16	23	2	1	-2	484	93977	
17	6	3	1	-1	451	99966	
18	66	2	1	-1	450	105972	
19	8	4	1	-1	735	111960	
20	54	1	1	-1	535	117965	
21	73	2	1	-1	568	123954	
22	30	4	1	-1	601	129959	
23	1	1	1	-1	484	135948	
24	3	3	1	-1	735	141953	
25	31	3	1	-2	484	147942	
26	46	1	1	-2	535	153947	
27	85	2	1	-2	551	159936	
28	62	4	1	-2	484	165942	
29	28	1	1	-2	534	171930	
30	49	2	1	-2	468	177935	
31	51	4	1	-2	434	183924	
32	7	3	1	-2	468	189929	
33	57	1	0	-1	484	195918	
34	19	3	0	-1	485	201923	
35	87	2	0	-1	451	207912	
36	34	4	0	-1	451	213917	
37	38	3	0	-1	484	219906	
38	78	4	0	-1	468	225911	
39	42	1	0	-1	434	231900	
40	89	2	0	-1	485	237905	
41	58	4	1	-2	551	243894	
42	33	2	1	-2	535	249899	
43	53	1	1	-2	1185	255888	
44	50	3	1	-2	501	261893	
45	47	2	1	-2	634	267882	
46	83	3	1	-2	551	273887	
47	39	4	1	-2	584	279876	
48	17	1	1	-2	517	285882	
49	35	4	0	-1	384	291870	
50	36	1	0	-1	501	297875	
51	2	2	0	-1	451	303864	
52	60	3	0	-1	467	309870	
53	70	4	0	-1	551	315858	
54	48	3	0	-1	68	321863	
55	79	1	0	-1	484	327852	
56	5	2	0	-1	468	333857	
57	44	1	1	-2	601	339846	
58	12	3	1	-2	451	345851	
59	82	2	1	-2	534	351840	
60	77	4	1	-2	768	357845	
61	11	1	1	-2	1235	363834	
62	71	2	1	-2	551	369839	
63	20	4	1	-2	534	375828	
64	27	3	1	-2	1102	381833	
65	13	1	0	-1	501	387822	
66	25	2	0	-1	435	393827	
67	91	3	0	-1	1500	399816	
68	29	4	0	-1	468	405821	
69	64	2	0	-1	434	411810	
70	10	3	0	-1	501	417815	
71	55	4	0	-1	451	423804	
72	4	1	0	-1	568	429809	
73	65	4	1	-2	634	435798	
74	67	2	1	-2	751	441803	
75	81	1	1	-2	534	447792	
76	26	3	1	-2	735	453797	
77	41	2	1	-2	734	459786	
78	68	4	1	-2	601	465791	
79	52	3	1	-2	534	471780	
80	37	1	1	-2	751	477785	
81	22	3	0	-1	751	483774	
82	69	4	0	-1	585	489779	
83	80	2	0	-1	835	495768	
84	21	1	0	-1	568	501773	
85	15	2	0	-1	434	507762	
86	76	3	0	-1	735	513767	
87	84	4	0	-1	684	519756	
88	88	1	0	-1	501	525761	
89	59	2	1	-2	670	4010	
90	40	3	1	-2	668	10001	
91	75	4	1	-2	601	15990	
92	56	1	1	-2	635	21995	
93	43	3	1	-2	734	27984	
94	94	2	1	-2	668	33989	
95	24	4	1	-2	1500	39978	
